brief_id,industry,brand_name,prompt_text,prompt_text_en,required_objects,colour_attributes,spatial_constraints,required_text,style_descriptors,back_translated,cc_score,status,language,cometkiwi_score
MB011,tech_product,LUMIX,"Fotografía minimalista de un cargador portátil rectangular blanco con un cable USB rojo enrollado debajo, sobre una superficie gris claro; la inscripción «LUMIX» aparece en el cargador; composición sencilla.","Minimalist product photography of a white rectangular power bank with a red USB cable coiled below it on a light gray surface, LUMIX on power bank, clean composition","[""power bank"", ""USB cable""]","{""power bank"": ""white"", ""USB cable"": ""red""}","[""USB cable below power bank""]","[""LUMIX""]","[""minimalist"", ""gray background"", ""clean composition""]","A minimalist photograph of a white, rectangular portable charger with a red USB cable coiled beneath it, on a light gray surface; the word “LUMIX” appears on the charger; simple composition.",0.9445,PASS,es,0.8385524749755859
MB012,tech_product,MIRAX,Fotografía de producto de estilo de vida en la que aparece un portátil plateado abierto con una taza de café de cerámica blanca a su derecha sobre un escritorio de madera oscura; el logotipo de MIRAX en la pantalla del portátil; luz matutina.,"Lifestyle product shot of an open silver laptop with a white ceramic coffee mug to its right on a dark wood desk, MIRAX logo on laptop screen, morning light","[""laptop"", ""coffee mug""]","{""laptop"": ""silver"", ""coffee mug"": ""white""}","[""coffee mug right of laptop""]","[""MIRAX""]","[""lifestyle photography"", ""dark wood surface"", ""morning light""]",Lifestyle product photograph featuring a silver laptop open with a white ceramic coffee mug to its right on a dark wooden desk; the MIRAX logo on the laptop screen; morning light.,0.9736,PASS,es,0.843192458152771
MB013,tech_product,NEURO,Fotografía de producto de unos auriculares inalámbricos blancos colocados sobre un smartphone negro sobre una superficie oscura; el logotipo de NEURO aparece en el estuche de los auriculares; iluminación de estudio.,"Product photography of white wireless earbuds placed above a black smartphone on a dark surface, NEURO logo on earbuds case, studio lighting","[""wireless earbuds"", ""smartphone""]","{""wireless earbuds"": ""white"", ""smartphone"": ""black""}","[""wireless earbuds above smartphone""]","[""NEURO""]","[""product photography"", ""dark background"", ""studio lighting""]",Product photograph of a pair of white wireless headphones placed on top of a black smartphone on a dark surface; the NEURO logo appears on the headphone case; studio lighting.,0.9261,PASS,es,0.8445092439651489
MB014,tech_product,OPUS,Fotografía de producto tomada en estudio de una cámara web negra colocada sobre un monitor blanco en un escritorio; el logotipo de OPUS aparece en el cuerpo de la cámara web; entorno de oficina ordenado.,"Studio product shot of a black webcam mounted above a white monitor on a desk, OPUS logo on webcam body, clean office setup","[""webcam"", ""monitor""]","{""webcam"": ""black"", ""monitor"": ""white""}","[""webcam above monitor""]","[""OPUS""]","[""product photography"", ""office setting"", ""clean composition""]",Studio product photo of a black webcam placed on a white monitor on a desk; the OPUS logo appears on the body of the webcam; a tidy office setting.,0.9803,PASS,es,0.8534120321273804
MB015,tech_product,PHASE,Fotografía de producto en acción de una cámara de acción naranja colocada a la izquierda de un casco de ciclista blanco sobre una superficie rocosa; la palabra «PHASE» aparece en el cuerpo de la cámara; iluminación exterior.,"Action product shot of an orange action camera placed to the left of a white cycling helmet on a rocky surface, PHASE on camera body, outdoor lighting","[""action camera"", ""cycling helmet""]","{""action camera"": ""orange"", ""cycling helmet"": ""white""}","[""action camera left of cycling helmet""]","[""PHASE""]","[""product photography"", ""outdoor setting"", ""natural lighting""]",Product shot of an orange action camera positioned to the left of a white bicycle helmet on a rocky surface; the word “PHASE” appears on the camera body; outdoor lighting.,0.9534,PASS,es,0.8151562213897705
MB016,tech_product,QUBIT,"Fotografía de estilo de vida en la que se ve un altavoz inteligente cilíndrico blanco situado a la izquierda de un reloj digital negro sobre una mesita de noche blanca; el logotipo de QUBIT aparece en la parte superior del altavoz, con una suave iluminación ambiental.","Lifestyle shot of a white cylindrical smart speaker placed to the left of a black digital clock on a white nightstand, QUBIT logo on speaker top, soft ambient lighting","[""smart speaker"", ""digital clock""]","{""smart speaker"": ""white"", ""digital clock"": ""black""}","[""smart speaker left of digital clock""]","[""QUBIT""]","[""lifestyle photography"", ""soft lighting"", ""white background""]","A lifestyle photograph showing a white cylindrical smart speaker positioned to the left of a black digital clock on a white nightstand; the QUBIT logo appears at the top of the speaker, with soft ambient lighting.",0.9446,PASS,es,0.8672454953193665
MB017,tech_product,RADIUS,Fotografía de producto de unas gafas de realidad virtual blancas colocadas sobre dos mandos de movimiento negros sobre una superficie oscura; el logotipo de RADIUS aparece en la visera de las gafas; iluminación de estudio espectacular.,"Product photography of a white VR headset placed above two black motion controllers on a dark surface, RADIUS logo on headset visor, dramatic studio lighting","[""VR headset"", ""motion controllers""]","{""VR headset"": ""white"", ""motion controllers"": ""black""}","[""VR headset above motion controllers""]","[""RADIUS""]","[""product photography"", ""dark background"", ""dramatic lighting""]",Product photograph of a pair of white virtual reality goggles placed on top of two black motion controllers on a dark surface; the RADIUS logo appears on the visor of the goggles; dramatic studio lighting.,0.8822,PASS,es,0.842435359954834
MB018,tech_product,SPARK,"Fotografía de producto en estudio de un monitor curvo negro con un teclado plateado colocado debajo de él sobre un escritorio de cristal; el logotipo de SPARK aparece en el bisel del monitor, con iluminación ambiental azul.","Studio product shot of a black curved monitor with a silver keyboard placed below it on a glass desk, SPARK logo on monitor bezel, blue ambient lighting","[""curved monitor"", ""keyboard""]","{""curved monitor"": ""black"", ""keyboard"": ""silver""}","[""keyboard below curved monitor""]","[""SPARK""]","[""product photography"", ""glass surface"", ""blue lighting""]","Studio product photograph of a black curved monitor with a silver keyboard placed beneath it on a glass desk; the SPARK logo appears on the monitor's bezel, with blue ambient lighting.",0.9611,PASS,es,0.8427537679672241
MB019,tech_product,VORTA,Fotografía de producto de un dron cuadricóptero negro situado a la izquierda de un mando a distancia gris sobre una superficie blanca; el logotipo de VORTA aparece en el cuerpo del dron; toma nítida de estudio.,"Product photography of a black quadcopter drone placed to the left of a gray remote control on a white surface, VORTA logo on drone body, clean studio shot","[""drone"", ""remote control""]","{""drone"": ""black"", ""remote control"": ""gray""}","[""drone left of remote control""]","[""VORTA""]","[""product photography"", ""white background"", ""studio lighting""]",Product photograph of a black quadcopter drone positioned to the left of a gray remote control on a white surface; the VORTA logo appears on the drone's body; a sharp studio shot.,0.9626,PASS,es,0.8368765711784363
MB020,tech_product,RIVOX,Fotografía de producto en plano horizontal de un lector electrónico blanco colocado a la izquierda de unas gafas de lectura negras sobre una superficie de lino beige; en la pantalla del lector electrónico se lee «RIVOX»; luz natural,"Flat lay product shot of a white e-reader placed to the left of black reading glasses on a beige linen surface, RIVOX on e-reader screen, natural light","[""e-reader"", ""reading glasses""]","{""e-reader"": ""white"", ""reading glasses"": ""black""}","[""e-reader left of reading glasses""]","[""RIVOX""]","[""flat lay"", ""linen surface"", ""natural lighting""]","Horizontal product photograph of a white e-reader placed to the left of a pair of black reading glasses on a beige linen surface; the e-reader's screen displays ""RIVOX""; natural light",0.9496,PASS,es,0.8255780935287476
MB021,tech_product,WAVE,Fotografía de producto de un concentrador USB gris situado a la izquierda de un portátil plateado sobre una superficie de escritorio blanca; con la palabra «WAVE» grabada en el concentrador; composición limpia y minimalista.,"Product photography of a gray USB hub placed to the left of a silver laptop on a white desk surface, WAVE engraved on hub, clean minimalist setup","[""USB hub"", ""laptop""]","{""USB hub"": ""gray"", ""laptop"": ""silver""}","[""USB hub left of laptop""]","[""WAVE""]","[""product photography"", ""white background"", ""minimalist""]","Product photo of a gray USB hub positioned to the left of a silver laptop on a white desk surface; the word “WAVE” is engraved on the hub; clean, minimalist composition.",0.9702,PASS,es,0.856766939163208
MB022,tech_product,XENON,"Fotografía de producto de unos auriculares para videojuegos negros colocados sobre un soporte blanco para auriculares sobre una superficie oscura, con el logotipo de XENON en el auricular y una iluminación lateral espectacular.","Product shot of a black gaming headset placed on a white headphone stand on a dark surface, XENON logo on ear cup, dramatic side lighting","[""gaming headset"", ""headphone stand""]","{""gaming headset"": ""black"", ""headphone stand"": ""white""}","[""gaming headset above headphone stand""]","[""XENON""]","[""product photography"", ""dark background"", ""side lighting""]","Product photo of black gaming headphones placed on a white headphone stand on a dark surface, featuring the XENON logo on the ear cup and dramatic side lighting.",0.9758,PASS,es,0.8370015621185303
MB023,tech_product,ZETA,Fotografía de producto de estilo de vida en la que aparece una pulsera de actividad negra situada a la izquierda de un smartphone blanco sobre una superficie de mármol; el logotipo de ZETA aparece en la pantalla de la pulsera; iluminación cenital.,"Lifestyle product shot of a black fitness tracker placed to the left of a white smartphone on a marble surface, ZETA logo on tracker display, overhead lighting","[""fitness tracker"", ""smartphone""]","{""fitness tracker"": ""black"", ""smartphone"": ""white""}","[""fitness tracker left of smartphone""]","[""ZETA""]","[""lifestyle photography"", ""marble surface"", ""overhead lighting""]",A lifestyle product photograph featuring a black fitness tracker positioned to the left of a white smartphone on a marble surface; the ZETA logo appears on the tracker's screen; overhead lighting.,0.9393,PASS,es,0.7790558338165283
MB024,tech_product,AXON,"Fotografía de producto de un proyector portátil blanco colocado sobre un mando a distancia negro, sobre una superficie de madera oscura; el logotipo de AXON aparece en el cuerpo del proyector; iluminación de estudio.","Product photography of a white portable projector placed above a black remote control on a dark wood surface, AXON logo on projector body, studio lighting","[""portable projector"", ""remote control""]","{""portable projector"": ""white"", ""remote control"": ""black""}","[""portable projector above remote control""]","[""AXON""]","[""product photography"", ""dark wood surface"", ""studio lighting""]","Product photograph of a white portable projector placed on top of a black remote control, on a dark wooden surface; the AXON logo appears on the projector's body; studio lighting.",0.9741,PASS,es,0.8419652581214905
MB025,tech_product,BREEZE,"Fotografía del producto en la que se muestran unas gafas inteligentes de oro rosa colocadas sobre un estuche negro para gafas sobre una superficie blanca; el logotipo de BREEZE aparece en la tapa del estuche, con una iluminación suave y natural.","Product shot of rose gold smart glasses placed above a black glasses case on a white surface, BREEZE logo on case lid, soft natural lighting","[""smart glasses"", ""glasses case""]","{""smart glasses"": ""rose gold"", ""glasses case"": ""black""}","[""smart glasses above glasses case""]","[""BREEZE""]","[""product photography"", ""white background"", ""soft lighting""]","Product photograph showing rose gold smart glasses placed on a black glasses case on a white surface; the BREEZE logo appears on the lid of the case, with soft, natural lighting.",0.9462,PASS,es,0.8584234118461609
MB026,tech_product,CREST,Fotografía nítida de un SSD portátil plateado con un cable USB azul situado a su derecha sobre una superficie blanca; la inscripción «CREST» en el cuerpo del SSD; estilo minimalista.,"Clean product photography of a silver portable SSD with a blue USB cable placed to its right on a white surface, CREST on SSD body, minimalist style","[""portable SSD"", ""USB cable""]","{""portable SSD"": ""silver"", ""USB cable"": ""blue""}","[""USB cable right of portable SSD""]","[""CREST""]","[""product photography"", ""white background"", ""minimalist""]",A sharp photograph of a silver portable SSD with a blue USB cable to its right on a white surface; the word “CREST” inscribed on the SSD’s body; minimalist style.,0.9435,PASS,es,0.8480399250984192
MB027,tech_product,DAWN,Fotografía de producto de una base de carga inalámbrica blanca con un smartphone negro colocado sobre ella en una mesita de noche de madera; el letrero «DAWN» sobre la base de carga; cálida luz matutina.,"Product photography of a white wireless charging pad with a black smartphone placed on top of it on a wooden nightstand, DAWN on charging pad, warm morning light","[""wireless charging pad"", ""smartphone""]","{""wireless charging pad"": ""white"", ""smartphone"": ""black""}","[""smartphone above wireless charging pad""]","[""DAWN""]","[""lifestyle photography"", ""wooden surface"", ""warm lighting""]",Product photo of a white wireless charging pad with a black smartphone placed on top of it on a wooden nightstand; the word “DAWN” on the charging pad; warm morning light.,0.9796,PASS,es,0.8295814990997314
MB028,tech_product,NYRIC,Fotografía de producto de una cerradura inteligente negra instalada sobre un pomo plateado en una puerta blanca; el logotipo de NYRIC aparece en la pantalla de la cerradura; toma editorial limpia.,"Product photography of a black smart lock device mounted above a silver door handle on a white door, NYRIC logo on lock display, clean editorial shot","[""smart lock"", ""door handle""]","{""smart lock"": ""black"", ""door handle"": ""silver""}","[""smart lock above door handle""]","[""NYRIC""]","[""product photography"", ""white door"", ""editorial""]",Product photograph of a black smart lock installed on a silver doorknob on a white door; the NYRIC logo appears on the lock's screen; clean editorial shot.,0.9619,PASS,es,0.7868983149528503
MB029,tech_product,FUSE,Fotografía de producto de un router WiFi blanco con un cable Ethernet amarillo colocado debajo de él sobre una superficie gris; la inscripción «FUSE» aparece en la parte superior del router; fotografía de estudio con un fondo limpio.,"Product photography of a white WiFi router with a yellow ethernet cable placed below it on a gray surface, FUSE on router top, clean studio shot","[""WiFi router"", ""ethernet cable""]","{""WiFi router"": ""white"", ""ethernet cable"": ""yellow""}","[""ethernet cable below WiFi router""]","[""FUSE""]","[""product photography"", ""gray background"", ""studio lighting""]",Product photo of a white Wi-Fi router with a yellow Ethernet cable placed beneath it on a gray surface; the word “FUSE” appears at the top of the router; studio photo with a clean background.,0.9421,PASS,es,0.8578057289123535
MB030,tech_product,GRID,"Fotografía de producto de un ratón para videojuegos negro con iluminación RGB colocado sobre una alfombrilla roja, con el logotipo de GRID en el ratón y una estética de escritorio para videojuegos en tonos oscuros.","Product photography of a black gaming mouse with RGB lighting placed on a red mousepad, GRID logo on mouse, dark gaming desk aesthetic","[""gaming mouse"", ""mousepad""]","{""gaming mouse"": ""black"", ""mousepad"": ""red""}","[""gaming mouse above mousepad""]","[""GRID""]","[""product photography"", ""dark background"", ""gaming aesthetic""]","Product photo of a black gaming mouse with RGB lighting placed on a red mouse pad, featuring the GRID logo on the mouse and a dark-toned gaming desktop aesthetic.",0.9662,PASS,es,0.8334347009658813
MB031,food_beverage,ZEST,Fotografía de producto de una botella de zumo de cristal naranja colocada a la izquierda de una taza de cerámica blanca sobre una superficie de mármol; la botella lleva la etiqueta «ZEST»; iluminación natural brillante.,"Product photography of an orange glass juice bottle placed to the left of a white ceramic cup on a marble surface, ZEST label on bottle, bright natural lighting","[""juice bottle"", ""ceramic cup""]","{""juice bottle"": ""orange"", ""ceramic cup"": ""white""}","[""juice bottle left of ceramic cup""]","[""ZEST""]","[""product photography"", ""marble surface"", ""natural lighting""]","Product photograph of an orange glass juice bottle placed to the left of a white ceramic mug on a marble surface; the bottle bears the ""ZEST"" label; bright natural lighting.",0.9752,PASS,es,0.8731006383895874
MB032,food_beverage,PURE,Fotografía en plano horizontal de una bolsa de café de papel kraft marrón colocada sobre una taza de café expreso negra sobre una mesa de madera; la palabra «PURE» en la parte delantera de la bolsa; cálida iluminación de cafetería.,"Flat lay of a brown kraft coffee bag placed above a black espresso cup on a wooden table, PURE on bag front, warm cafe lighting","[""coffee bag"", ""espresso cup""]","{""coffee bag"": ""brown"", ""espresso cup"": ""black""}","[""coffee bag above espresso cup""]","[""PURE""]","[""flat lay"", ""wooden surface"", ""warm lighting""]",A horizontal shot of a brown kraft paper coffee bag placed on top of a black espresso cup on a wooden table; the word “PURE” on the front of the bag; warm café lighting.,0.9079,PASS,es,0.7917327880859375
MB033,food_beverage,BLOOM,Fotografía de producto de una caja de cereales amarilla colocada a la izquierda de un cartón de leche blanco sobre la encimera de una cocina luminosa; la palabra «BLOOM» en la parte delantera de la caja; luz matutina.,"Product photography of a yellow cereal box placed to the left of a white milk carton on a bright kitchen counter, BLOOM on box front, morning light","[""cereal box"", ""milk carton""]","{""cereal box"": ""yellow"", ""milk carton"": ""white""}","[""cereal box left of milk carton""]","[""BLOOM""]","[""product photography"", ""kitchen setting"", ""morning light""]",Product photograph of a yellow cereal box placed to the left of a white milk carton on the countertop of a bright kitchen; the word “BLOOM” on the front of the box; morning light.,0.9562,PASS,es,0.8013874292373657
MB034,food_beverage,GROVE,Fotografía de producto de una botella de salsa picante roja situada a la derecha de una tabla de cortar de madera marrón sobre una mesa rústica; la botella lleva la etiqueta «GROVE»; iluminación natural y cálida.,"Product shot of a red hot sauce bottle placed to the right of a brown wooden cutting board on a rustic table, GROVE label on bottle, warm natural lighting","[""hot sauce bottle"", ""cutting board""]","{""hot sauce bottle"": ""red"", ""cutting board"": ""brown""}","[""cutting board left of hot sauce bottle""]","[""GROVE""]","[""product photography"", ""rustic style"", ""warm lighting""]","Product photograph of a bottle of red hot sauce placed to the right of a brown wooden cutting board on a rustic table; the bottle bears the ""GROVE"" label; warm, natural lighting.",0.9775,PASS,es,0.8581507205963135
MB035,food_beverage,FRESH,Fotografía de producto de una botella de vino verde colocada a la derecha de un racimo de uvas moradas sobre mármol blanco; la botella lleva la etiqueta «FRESH» y cuenta con una elegante iluminación natural.,"Product photography of a green wine bottle placed to the right of a bunch of purple grapes on white marble, FRESH label on bottle, elegant natural lighting","[""wine bottle"", ""grapes""]","{""wine bottle"": ""green"", ""grapes"": ""purple""}","[""wine bottle right of grapes""]","[""FRESH""]","[""product photography"", ""marble surface"", ""elegant lighting""]","Product photograph of a bottle of green wine placed to the right of a cluster of purple grapes on white marble; the bottle bears the ""FRESH"" label and is elegantly lit by natural light.",0.966,PASS,es,0.8759236931800842
MB036,food_beverage,CRISP,Fotografía en plano horizontal de una caja de té de color verde azulado colocada sobre una taza y un platillo de cerámica blanca sobre una superficie gris claro; la palabra «CRISP» aparece en la tapa de la caja; iluminación natural suave.,"Flat lay of a teal tea box placed above a white ceramic teacup and saucer on a light gray surface, CRISP on box lid, soft natural lighting","[""tea box"", ""teacup""]","{""tea box"": ""teal"", ""teacup"": ""white""}","[""tea box above teacup""]","[""CRISP""]","[""flat lay"", ""gray background"", ""soft lighting""]",A horizontal shot of a blue-green tea box placed on top of a white ceramic cup and saucer on a light gray surface; the word “CRISP” appears on the lid of the box; soft natural lighting.,0.8546,PASS,es,0.7925589680671692
MB037,food_beverage,BOLD,Fotografía de producto de una lata de aluminio negra de bebida energética colocada a la izquierda de una mancuerna plateada sobre el suelo oscuro de un gimnasio; la palabra «BOLD» en la parte delantera de la lata; iluminación dramática.,"Product shot of a black aluminum energy drink can placed to the left of a silver dumbbell on a dark gym surface, BOLD on can front, dramatic lighting","[""energy drink can"", ""dumbbell""]","{""energy drink can"": ""black"", ""dumbbell"": ""silver""}","[""energy drink can left of dumbbell""]","[""BOLD""]","[""product photography"", ""gym setting"", ""dramatic lighting""]",Product photograph of a black aluminum energy drink can placed to the left of a silver dumbbell on the dark floor of a gym; the word “BOLD” on the front of the can; dramatic lighting.,0.9567,PASS,es,0.7937313318252563
MB038,food_beverage,MIST,Fotografía de producto de una botella de agua de aluminio azul colocada sobre rodajas de limón amarillas sobre una superficie de mármol blanco; la botella lleva la etiqueta «MIST»; iluminación natural brillante.,"Product photography of a blue aluminum water bottle placed above yellow lemon slices on a white marble surface, MIST label on bottle, bright natural lighting","[""water bottle"", ""lemon""]","{""water bottle"": ""blue"", ""lemon"": ""yellow""}","[""water bottle above lemon""]","[""MIST""]","[""product photography"", ""marble surface"", ""bright lighting""]","Product photograph of a blue aluminum water bottle placed on yellow lemon slices on a white marble surface; the bottle bears the ""MIST"" label; bright natural lighting.",0.9864,PASS,es,0.8731157779693604
MB039,food_beverage,GLOW,"Fotografía de producto en plano horizontal de un envase de yogur blanco colocado a la izquierda de unas fresas rojas sobre una superficie rosa pastel; la palabra «GLOW» aparece en el envase, con una suave luz matutina.","Product flat lay of a white yogurt container placed to the left of red strawberries on a pink pastel surface, GLOW on container, soft morning light","[""yogurt container"", ""strawberries""]","{""yogurt container"": ""white"", ""strawberries"": ""red""}","[""yogurt container left of strawberries""]","[""GLOW""]","[""flat lay"", ""pink background"", ""soft lighting""]","A horizontal product photograph of a white yogurt container placed to the left of some red strawberries on a pastel pink surface; the word “GLOW” appears on the container, bathed in soft morning light.",0.9084,PASS,es,0.7545612454414368
MB040,food_beverage,PETAL,Fotografía de producto de una lata redonda de galletas de color rojo colocada a la derecha de un vaso blanco de leche sobre una encimera de madera; la palabra «PETAL» aparece en la tapa de la lata; iluminación cálida de cocina.,"Product photography of a red round cookie tin placed to the right of a white glass of milk on a wooden kitchen surface, PETAL on tin lid, warm kitchen lighting","[""cookie tin"", ""glass of milk""]","{""cookie tin"": ""red"", ""glass of milk"": ""white""}","[""glass of milk left of cookie tin""]","[""PETAL""]","[""product photography"", ""kitchen setting"", ""warm lighting""]","Product photograph of a round, red cookie tin placed to the right of a white glass of milk on a wooden countertop; the word “PETAL” appears on the lid of the tin; warm kitchen lighting.",0.9325,PASS,es,0.8120831251144409
MB041,food_beverage,QUENCH,Fotografía de producto de una lata de refresco azul colocada a la izquierda de una cubitera plateada sobre la encimera oscura de una barra; el logotipo de QUENCH aparece en la parte delantera de la lata; iluminación atmosférica y fresca.,"Product photography of a blue soda can placed to the left of a silver ice bucket on a dark bar surface, QUENCH logo on can front, cool atmospheric lighting","[""soda can"", ""ice bucket""]","{""soda can"": ""blue"", ""ice bucket"": ""silver""}","[""soda can left of ice bucket""]","[""QUENCH""]","[""product photography"", ""dark background"", ""cool lighting""]",Product photograph of a blue soda can placed to the left of a silver ice bucket on a dark bar countertop; the QUENCH logo appears on the front of the can; atmospheric and fresh lighting.,0.9561,PASS,es,0.7254875898361206
