brief_id,industry,brand_name,prompt_text,required_objects,colour_attributes,spatial_constraints,required_text,style_descriptors
MB013,tech_product,NEURO,"Product photography of white wireless earbuds placed above a black smartphone on a dark surface, NEURO logo on earbuds case, studio lighting","[""wireless earbuds"", ""smartphone""]","{""wireless earbuds"": ""white"", ""smartphone"": ""black""}","[""wireless earbuds above smartphone""]","[""NEURO""]","[""product photography"", ""dark background"", ""studio lighting""]"
MB014,tech_product,OPUS,"Studio product shot of a black webcam mounted above a white monitor on a desk, OPUS logo on webcam body, clean office setup","[""webcam"", ""monitor""]","{""webcam"": ""black"", ""monitor"": ""white""}","[""webcam above monitor""]","[""OPUS""]","[""product photography"", ""office setting"", ""clean composition""]"
MB015,tech_product,PHASE,"Action product shot of an orange action camera placed to the left of a white cycling helmet on a rocky surface, PHASE on camera body, outdoor lighting","[""action camera"", ""cycling helmet""]","{""action camera"": ""orange"", ""cycling helmet"": ""white""}","[""action camera left of cycling helmet""]","[""PHASE""]","[""product photography"", ""outdoor setting"", ""natural lighting""]"
MB016,tech_product,QUBIT,"Lifestyle shot of a white cylindrical smart speaker placed to the left of a black digital clock on a white nightstand, QUBIT logo on speaker top, soft ambient lighting","[""smart speaker"", ""digital clock""]","{""smart speaker"": ""white"", ""digital clock"": ""black""}","[""smart speaker left of digital clock""]","[""QUBIT""]","[""lifestyle photography"", ""soft lighting"", ""white background""]"
MB017,tech_product,RADIUS,"Product photography of a white VR headset placed above two black motion controllers on a dark surface, RADIUS logo on headset visor, dramatic studio lighting","[""VR headset"", ""motion controllers""]","{""VR headset"": ""white"", ""motion controllers"": ""black""}","[""VR headset above motion controllers""]","[""RADIUS""]","[""product photography"", ""dark background"", ""dramatic lighting""]"
MB018,tech_product,SPARK,"Studio product shot of a black curved monitor with a silver keyboard placed below it on a glass desk, SPARK logo on monitor bezel, blue ambient lighting","[""curved monitor"", ""keyboard""]","{""curved monitor"": ""black"", ""keyboard"": ""silver""}","[""keyboard below curved monitor""]","[""SPARK""]","[""product photography"", ""glass surface"", ""blue lighting""]"
MB019,tech_product,VORTA,"Product photography of a black quadcopter drone placed to the left of a gray remote control on a white surface, VORTA logo on drone body, clean studio shot","[""drone"", ""remote control""]","{""drone"": ""black"", ""remote control"": ""gray""}","[""drone left of remote control""]","[""VORTA""]","[""product photography"", ""white background"", ""studio lighting""]"
MB020,tech_product,RIVOX,"Flat lay product shot of a white e-reader placed to the left of black reading glasses on a beige linen surface, RIVOX on e-reader screen, natural light","[""e-reader"", ""reading glasses""]","{""e-reader"": ""white"", ""reading glasses"": ""black""}","[""e-reader left of reading glasses""]","[""RIVOX""]","[""flat lay"", ""linen surface"", ""natural lighting""]"
MB021,tech_product,WAVE,"Product photography of a gray USB hub placed to the left of a silver laptop on a white desk surface, WAVE engraved on hub, clean minimalist setup","[""USB hub"", ""laptop""]","{""USB hub"": ""gray"", ""laptop"": ""silver""}","[""USB hub left of laptop""]","[""WAVE""]","[""product photography"", ""white background"", ""minimalist""]"
MB022,tech_product,XENON,"Product shot of a black gaming headset placed on a white headphone stand on a dark surface, XENON logo on ear cup, dramatic side lighting","[""gaming headset"", ""headphone stand""]","{""gaming headset"": ""black"", ""headphone stand"": ""white""}","[""gaming headset above headphone stand""]","[""XENON""]","[""product photography"", ""dark background"", ""side lighting""]"
MB023,tech_product,ZETA,"Lifestyle product shot of a black fitness tracker placed to the left of a white smartphone on a marble surface, ZETA logo on tracker display, overhead lighting","[""fitness tracker"", ""smartphone""]","{""fitness tracker"": ""black"", ""smartphone"": ""white""}","[""fitness tracker left of smartphone""]","[""ZETA""]","[""lifestyle photography"", ""marble surface"", ""overhead lighting""]"
MB024,tech_product,AXON,"Product photography of a white portable projector placed above a black remote control on a dark wood surface, AXON logo on projector body, studio lighting","[""portable projector"", ""remote control""]","{""portable projector"": ""white"", ""remote control"": ""black""}","[""portable projector above remote control""]","[""AXON""]","[""product photography"", ""dark wood surface"", ""studio lighting""]"
MB025,tech_product,BREEZE,"Product shot of rose gold smart glasses placed above a black glasses case on a white surface, BREEZE logo on case lid, soft natural lighting","[""smart glasses"", ""glasses case""]","{""smart glasses"": ""rose gold"", ""glasses case"": ""black""}","[""smart glasses above glasses case""]","[""BREEZE""]","[""product photography"", ""white background"", ""soft lighting""]"
MB026,tech_product,CREST,"Clean product photography of a silver portable SSD with a blue USB cable placed to its right on a white surface, CREST on SSD body, minimalist style","[""portable SSD"", ""USB cable""]","{""portable SSD"": ""silver"", ""USB cable"": ""blue""}","[""USB cable right of portable SSD""]","[""CREST""]","[""product photography"", ""white background"", ""minimalist""]"
MB027,tech_product,DAWN,"Product photography of a white wireless charging pad with a black smartphone placed on top of it on a wooden nightstand, DAWN on charging pad, warm morning light","[""wireless charging pad"", ""smartphone""]","{""wireless charging pad"": ""white"", ""smartphone"": ""black""}","[""smartphone above wireless charging pad""]","[""DAWN""]","[""lifestyle photography"", ""wooden surface"", ""warm lighting""]"
MB028,tech_product,NYRIC,"Product photography of a black smart lock device mounted above a silver door handle on a white door, NYRIC logo on lock display, clean editorial shot","[""smart lock"", ""door handle""]","{""smart lock"": ""black"", ""door handle"": ""silver""}","[""smart lock above door handle""]","[""NYRIC""]","[""product photography"", ""white door"", ""editorial""]"
MB029,tech_product,FUSE,"Product photography of a white WiFi router with a yellow ethernet cable placed below it on a gray surface, FUSE on router top, clean studio shot","[""WiFi router"", ""ethernet cable""]","{""WiFi router"": ""white"", ""ethernet cable"": ""yellow""}","[""ethernet cable below WiFi router""]","[""FUSE""]","[""product photography"", ""gray background"", ""studio lighting""]"
MB030,tech_product,GRID,"Product photography of a black gaming mouse with RGB lighting placed on a red mousepad, GRID logo on mouse, dark gaming desk aesthetic","[""gaming mouse"", ""mousepad""]","{""gaming mouse"": ""black"", ""mousepad"": ""red""}","[""gaming mouse above mousepad""]","[""GRID""]","[""product photography"", ""dark background"", ""gaming aesthetic""]"
MB031,food_beverage,ZEST,"Product photography of an orange glass juice bottle placed to the left of a white ceramic cup on a marble surface, ZEST label on bottle, bright natural lighting","[""juice bottle"", ""ceramic cup""]","{""juice bottle"": ""orange"", ""ceramic cup"": ""white""}","[""juice bottle left of ceramic cup""]","[""ZEST""]","[""product photography"", ""marble surface"", ""natural lighting""]"
MB032,food_beverage,PURE,"Flat lay of a brown kraft coffee bag placed above a black espresso cup on a wooden table, PURE on bag front, warm cafe lighting","[""coffee bag"", ""espresso cup""]","{""coffee bag"": ""brown"", ""espresso cup"": ""black""}","[""coffee bag above espresso cup""]","[""PURE""]","[""flat lay"", ""wooden surface"", ""warm lighting""]"
MB033,food_beverage,BLOOM,"Product photography of a yellow cereal box placed to the left of a white milk carton on a bright kitchen counter, BLOOM on box front, morning light","[""cereal box"", ""milk carton""]","{""cereal box"": ""yellow"", ""milk carton"": ""white""}","[""cereal box left of milk carton""]","[""BLOOM""]","[""product photography"", ""kitchen setting"", ""morning light""]"
MB034,food_beverage,GROVE,"Product shot of a red hot sauce bottle placed to the right of a brown wooden cutting board on a rustic table, GROVE label on bottle, warm natural lighting","[""hot sauce bottle"", ""cutting board""]","{""hot sauce bottle"": ""red"", ""cutting board"": ""brown""}","[""cutting board left of hot sauce bottle""]","[""GROVE""]","[""product photography"", ""rustic style"", ""warm lighting""]"
MB035,food_beverage,FRESH,"Product photography of a green wine bottle placed to the right of a bunch of purple grapes on white marble, FRESH label on bottle, elegant natural lighting","[""wine bottle"", ""grapes""]","{""wine bottle"": ""green"", ""grapes"": ""purple""}","[""wine bottle right of grapes""]","[""FRESH""]","[""product photography"", ""marble surface"", ""elegant lighting""]"
MB036,food_beverage,CRISP,"Flat lay of a teal tea box placed above a white ceramic teacup and saucer on a light gray surface, CRISP on box lid, soft natural lighting","[""tea box"", ""teacup""]","{""tea box"": ""teal"", ""teacup"": ""white""}","[""tea box above teacup""]","[""CRISP""]","[""flat lay"", ""gray background"", ""soft lighting""]"
MB037,food_beverage,BOLD,"Product shot of a black aluminum energy drink can placed to the left of a silver dumbbell on a dark gym surface, BOLD on can front, dramatic lighting","[""energy drink can"", ""dumbbell""]","{""energy drink can"": ""black"", ""dumbbell"": ""silver""}","[""energy drink can left of dumbbell""]","[""BOLD""]","[""product photography"", ""gym setting"", ""dramatic lighting""]"
MB038,food_beverage,MIST,"Product photography of a blue aluminum water bottle placed above yellow lemon slices on a white marble surface, MIST label on bottle, bright natural lighting","[""water bottle"", ""lemon""]","{""water bottle"": ""blue"", ""lemon"": ""yellow""}","[""water bottle above lemon""]","[""MIST""]","[""product photography"", ""marble surface"", ""bright lighting""]"
MB039,food_beverage,GLOW,"Product flat lay of a white yogurt container placed to the left of red strawberries on a pink pastel surface, GLOW on container, soft morning light","[""yogurt container"", ""strawberries""]","{""yogurt container"": ""white"", ""strawberries"": ""red""}","[""yogurt container left of strawberries""]","[""GLOW""]","[""flat lay"", ""pink background"", ""soft lighting""]"
MB040,food_beverage,PETAL,"Product photography of a red round cookie tin placed to the right of a white glass of milk on a wooden kitchen surface, PETAL on tin lid, warm kitchen lighting","[""cookie tin"", ""glass of milk""]","{""cookie tin"": ""red"", ""glass of milk"": ""white""}","[""glass of milk left of cookie tin""]","[""PETAL""]","[""product photography"", ""kitchen setting"", ""warm lighting""]"
MB041,food_beverage,QUENCH,"Product photography of a blue soda can placed to the left of a silver ice bucket on a dark bar surface, QUENCH logo on can front, cool atmospheric lighting","[""soda can"", ""ice bucket""]","{""soda can"": ""blue"", ""ice bucket"": ""silver""}","[""soda can left of ice bucket""]","[""QUENCH""]","[""product photography"", ""dark background"", ""cool lighting""]"
MB042,food_beverage,RIPPLE,"Product photography of a black protein powder jar placed to the left of a white shaker bottle on a gym floor, RIPPLE on jar label, dramatic gym lighting","[""protein powder jar"", ""shaker bottle""]","{""protein powder jar"": ""black"", ""shaker bottle"": ""white""}","[""protein powder jar left of shaker bottle""]","[""RIPPLE""]","[""product photography"", ""gym setting"", ""dramatic lighting""]"
MB043,food_beverage,SWAY,"Product photography of a tall green glass olive oil bottle placed above a white garlic bulb on a marble surface, SWAY label on bottle, soft natural light","[""olive oil bottle"", ""garlic bulb""]","{""olive oil bottle"": ""green"", ""garlic bulb"": ""white""}","[""olive oil bottle above garlic bulb""]","[""SWAY""]","[""product photography"", ""marble surface"", ""soft lighting""]"
MB044,food_beverage,TEMPO,"Product flat lay of a brown paper-wrapped granola bar placed to the left of a ripe yellow banana on a white surface, TEMPO on wrapper, bright studio lighting","[""granola bar"", ""banana""]","{""granola bar"": ""brown"", ""banana"": ""yellow""}","[""granola bar left of banana""]","[""TEMPO""]","[""flat lay"", ""white background"", ""bright lighting""]"
MB045,food_beverage,UMBER,"Product photography of a brown cold brew coffee bottle placed to the left of a silver metal straw on a dark concrete surface, UMBER label on bottle, moody lighting","[""cold brew coffee bottle"", ""metal straw""]","{""cold brew coffee bottle"": ""brown"", ""metal straw"": ""silver""}","[""cold brew coffee bottle left of metal straw""]","[""UMBER""]","[""product photography"", ""dark background"", ""moody lighting""]"
MB046,food_beverage,VERDE,"Product photography of a blue sparkling water can placed to the left of a fresh green lime on white marble, VERDE on can, fresh natural lighting","[""sparkling water can"", ""lime""]","{""sparkling water can"": ""blue"", ""lime"": ""green""}","[""sparkling water can left of lime""]","[""VERDE""]","[""product photography"", ""marble surface"", ""natural lighting""]"
MB047,food_beverage,WARM,"Product photography of an amber honey jar placed above a slice of brown toast on a wooden breakfast board, WARM on jar lid, cozy morning lighting","[""honey jar"", ""toast""]","{""honey jar"": ""amber"", ""toast"": ""brown""}","[""honey jar above toast""]","[""WARM""]","[""product photography"", ""wooden surface"", ""warm lighting""]"
MB048,food_beverage,XTRA,"Product photography of a purple smoothie bottle placed to the left of fresh red berries on a white surface, XTRA label on bottle, vibrant natural lighting","[""smoothie bottle"", ""berries""]","{""smoothie bottle"": ""purple"", ""berries"": ""red""}","[""smoothie bottle left of berries""]","[""XTRA""]","[""product photography"", ""white background"", ""vibrant lighting""]"
MB049,food_beverage,YUMA,"Product photography of a white glass tea bottle placed to the right of a green bamboo stalk on a light gray surface, YUMA label on bottle, minimal zen composition","[""tea bottle"", ""bamboo stalk""]","{""tea bottle"": ""white"", ""bamboo stalk"": ""green""}","[""tea bottle right of bamboo stalk""]","[""YUMA""]","[""product photography"", ""gray background"", ""minimal""]"
MB050,food_beverage,ZEAL,"Product photography of a dark brown chocolate bar partially wrapped in a gold foil wrapper on a black marble surface, ZEAL on wrapper, luxury editorial lighting","[""chocolate bar"", ""wrapper""]","{""chocolate bar"": ""brown"", ""wrapper"": ""gold""}","[""chocolate bar above wrapper""]","[""ZEAL""]","[""product photography"", ""black marble"", ""luxury editorial""]"
MB051,food_beverage,AMBER,"Product photography of an orange juice pouch placed to the right of a brown wooden straw on a white surface, AMBER on pouch, natural bright lighting","[""juice pouch"", ""wooden straw""]","{""juice pouch"": ""orange"", ""wooden straw"": ""brown""}","[""juice pouch right of wooden straw""]","[""AMBER""]","[""product photography"", ""white background"", ""natural lighting""]"
MB052,food_beverage,BRISK,"Flat lay of a brown almond butter jar placed above slices of white bread on a light blue surface, BRISK on jar label, morning lifestyle lighting","[""almond butter jar"", ""bread""]","{""almond butter jar"": ""brown"", ""bread"": ""white""}","[""almond butter jar above bread""]","[""BRISK""]","[""flat lay"", ""light blue background"", ""morning lighting""]"
MB053,food_beverage,COVE,"Product photography of a brown glass kombucha bottle placed to the right of a yellow ginger root on a dark wooden surface, COVE label on bottle, moody natural lighting","[""kombucha bottle"", ""ginger root""]","{""kombucha bottle"": ""brown"", ""ginger root"": ""yellow""}","[""ginger root left of kombucha bottle""]","[""COVE""]","[""product photography"", ""dark wood surface"", ""moody lighting""]"
MB054,food_beverage,DRIP,"Product photography of a blue water bottle placed above a bunch of fresh green mint sprigs on a white marble surface, DRIP label on bottle, fresh bright lighting","[""water bottle"", ""mint sprigs""]","{""water bottle"": ""blue"", ""mint sprigs"": ""green""}","[""water bottle above mint sprigs""]","[""DRIP""]","[""product photography"", ""marble surface"", ""bright lighting""]"
MB055,food_beverage,ELIXIR,"Product photography of a green matcha tin placed to the right of a brown bamboo whisk on a white ceramic surface, ELIXIR on tin lid, minimal Japanese-inspired composition","[""matcha tin"", ""bamboo whisk""]","{""matcha tin"": ""green"", ""bamboo whisk"": ""brown""}","[""matcha tin right of bamboo whisk""]","[""ELIXIR""]","[""product photography"", ""ceramic surface"", ""minimal""]"
MB056,food_beverage,FERN,"Lifestyle product shot of a white oat milk carton placed to the right of a brown ceramic bowl filled with granola on a wooden table, FERN on carton front, warm morning lighting","[""oat milk carton"", ""ceramic bowl""]","{""oat milk carton"": ""white"", ""ceramic bowl"": ""brown""}","[""oat milk carton left of ceramic bowl""]","[""FERN""]","[""lifestyle photography"", ""wooden surface"", ""warm lighting""]"
MB057,food_beverage,GUSTO,"Product photography of a white aluminum coconut water can placed to the right of a brown coconut on a sandy surface, GUSTO on can, tropical bright lighting","[""coconut water can"", ""coconut""]","{""coconut water can"": ""white"", ""coconut"": ""brown""}","[""coconut water can right of coconut""]","[""GUSTO""]","[""product photography"", ""sandy surface"", ""tropical lighting""]"
MB058,food_beverage,HERBA,"Product photography of a small yellow glass shot bottle placed above a fresh orange turmeric root on a white surface, HERBA label on bottle, clean studio lighting","[""shot bottle"", ""turmeric root""]","{""shot bottle"": ""yellow"", ""turmeric root"": ""orange""}","[""shot bottle above turmeric root""]","[""HERBA""]","[""product photography"", ""white background"", ""studio lighting""]"
MB059,food_beverage,INFUSE,"Product photography of a purple glass sparkling juice bottle placed to the right of a bunch of green grapes on white marble, INFUSE label on bottle, elegant lighting","[""sparkling juice bottle"", ""grapes""]","{""sparkling juice bottle"": ""purple"", ""grapes"": ""green""}","[""sparkling juice bottle right of grapes""]","[""INFUSE""]","[""product photography"", ""marble surface"", ""elegant lighting""]"
MB060,food_beverage,JUVO,"Product photography of a green cold press juice bottle placed below fresh orange carrots on a white wooden surface, JUVO label on bottle, bright natural lighting","[""juice bottle"", ""carrots""]","{""juice bottle"": ""green"", ""carrots"": ""orange""}","[""juice bottle below carrots""]","[""JUVO""]","[""product photography"", ""white wood surface"", ""natural lighting""]"
MB061,fashion_apparel,MODE,"Product photography of a white sneaker placed above its red shoebox on a clean white surface, MODE logo on shoe tongue, studio lighting","[""sneaker"", ""shoebox""]","{""sneaker"": ""white"", ""shoebox"": ""red""}","[""sneaker above shoebox""]","[""MODE""]","[""product photography"", ""white background"", ""studio lighting""]"
MB062,fashion_apparel,LUXE,"Product photography of a black leather jacket hanging on a brown wooden hanger against a white wall, LUXE label on jacket, soft editorial lighting","[""leather jacket"", ""wooden hanger""]","{""leather jacket"": ""black"", ""wooden hanger"": ""brown""}","[""leather jacket above wooden hanger""]","[""LUXE""]","[""editorial photography"", ""white background"", ""soft lighting""]"
MB063,fashion_apparel,FORM,"Fashion product shot of a tan leather handbag placed to the left of black sunglasses on a white surface, FORM logo on bag hardware, clean editorial lighting","[""handbag"", ""sunglasses""]","{""handbag"": ""tan"", ""sunglasses"": ""black""}","[""handbag left of sunglasses""]","[""FORM""]","[""editorial photography"", ""white background"", ""clean lighting""]"
MB064,fashion_apparel,GRACE,"Product photography of a gold wristwatch placed above a black leather watch box on a dark marble surface, GRACE logo on watch face, luxury editorial lighting","[""wristwatch"", ""watch box""]","{""wristwatch"": ""gold"", ""watch box"": ""black""}","[""wristwatch above watch box""]","[""GRACE""]","[""luxury editorial"", ""dark marble"", ""dramatic lighting""]"
MB065,fashion_apparel,HAVEN,"Product photography of brown tortoiseshell sunglasses placed above a black leather glasses case on a white background, HAVEN on case, clean studio shot","[""sunglasses"", ""glasses case""]","{""sunglasses"": ""brown"", ""glasses case"": ""black""}","[""sunglasses above glasses case""]","[""HAVEN""]","[""product photography"", ""white background"", ""clean lighting""]"
MB066,fashion_apparel,INKE,"Product photography of blue running shoes placed to the left of white athletic socks on a gray concrete surface, INKE logo on shoe heel, lifestyle lighting","[""running shoes"", ""athletic socks""]","{""running shoes"": ""blue"", ""athletic socks"": ""white""}","[""running shoes left of athletic socks""]","[""INKE""]","[""lifestyle photography"", ""concrete surface"", ""natural lighting""]"
MB067,fashion_apparel,JOIE,"Flat lay of a blue denim jacket placed above a white canvas tote bag on a light gray surface, JOIE on tote bag, natural lighting","[""denim jacket"", ""tote bag""]","{""denim jacket"": ""blue"", ""tote bag"": ""white""}","[""denim jacket above tote bag""]","[""JOIE""]","[""flat lay"", ""gray background"", ""natural lighting""]"
MB068,fashion_apparel,KEEN,"Product photography of a brown leather tote bag placed to the left of a red silk scarf on a beige linen surface, KEEN embossed on bag, soft warm lighting","[""leather tote bag"", ""silk scarf""]","{""leather tote bag"": ""brown"", ""silk scarf"": ""red""}","[""leather tote bag left of silk scarf""]","[""KEEN""]","[""product photography"", ""linen surface"", ""warm lighting""]"
MB069,fashion_apparel,LACE,"Lifestyle product shot of a white canvas sneaker placed above a red skateboard on a concrete surface, LACE logo on sneaker side, urban natural lighting","[""canvas sneaker"", ""skateboard""]","{""canvas sneaker"": ""white"", ""skateboard"": ""red""}","[""canvas sneaker above skateboard""]","[""LACE""]","[""lifestyle photography"", ""concrete surface"", ""urban lighting""]"
MB070,fashion_apparel,MAUVE,"Flat lay product shot of a pink sports bra placed above a purple yoga mat on a white floor surface, MAUVE label on bra tag, bright studio lighting","[""sports bra"", ""yoga mat""]","{""sports bra"": ""pink"", ""yoga mat"": ""purple""}","[""sports bra above yoga mat""]","[""MAUVE""]","[""flat lay"", ""white background"", ""bright lighting""]"
MB071,fashion_apparel,NOIR,"Flat lay product shot of a black baseball cap placed above a white t-shirt on a gray background, NOIR embroidered on cap front, clean editorial shot","[""baseball cap"", ""t-shirt""]","{""baseball cap"": ""black"", ""t-shirt"": ""white""}","[""baseball cap above t-shirt""]","[""NOIR""]","[""flat lay"", ""gray background"", ""editorial""]"
MB072,fashion_apparel,ONYX,"Product photography of black Chelsea boots placed to the left of a brown leather belt on a white surface, ONYX on boot sole, clean studio lighting","[""Chelsea boots"", ""leather belt""]","{""Chelsea boots"": ""black"", ""leather belt"": ""brown""}","[""Chelsea boots left of leather belt""]","[""ONYX""]","[""product photography"", ""white background"", ""studio lighting""]"
MB073,fashion_apparel,POISE,"Lifestyle product shot of a yellow raincoat hung above a black umbrella against a white wall, POISE label on raincoat, clean editorial lighting","[""raincoat"", ""umbrella""]","{""raincoat"": ""yellow"", ""umbrella"": ""black""}","[""raincoat above umbrella""]","[""POISE""]","[""lifestyle photography"", ""white wall"", ""editorial""]"
MB074,fashion_apparel,RIVE,"Flat lay of a gray wool sweater placed above a white knit scarf on a light wooden surface, RIVE label visible, soft natural lighting","[""wool sweater"", ""knit scarf""]","{""wool sweater"": ""gray"", ""knit scarf"": ""white""}","[""wool sweater above knit scarf""]","[""RIVE""]","[""flat lay"", ""wooden surface"", ""soft lighting""]"
MB075,fashion_apparel,SILK,"Product flat lay of an orange swimsuit placed to the left of a white sunscreen bottle on a turquoise surface, SILK label on bottle, bright summery lighting","[""swimsuit"", ""sunscreen bottle""]","{""swimsuit"": ""orange"", ""sunscreen bottle"": ""white""}","[""swimsuit left of sunscreen bottle""]","[""SILK""]","[""flat lay"", ""turquoise background"", ""bright lighting""]"
MB076,fashion_apparel,TONE,"Product photography of a navy blue backpack placed to the left of a silver water bottle on a white background, TONE on backpack front pocket, clean studio shot","[""backpack"", ""water bottle""]","{""backpack"": ""navy"", ""water bottle"": ""silver""}","[""backpack left of water bottle""]","[""TONE""]","[""product photography"", ""white background"", ""clean lighting""]"
MB077,fashion_apparel,ULAN,"Flat lay fashion shot of a gray hoodie placed above black jogger pants on a white surface, ULAN tag visible on hoodie, clean editorial lighting","[""hoodie"", ""jogger pants""]","{""hoodie"": ""gray"", ""jogger pants"": ""black""}","[""hoodie above jogger pants""]","[""ULAN""]","[""flat lay"", ""white background"", ""editorial""]"
MB078,fashion_apparel,VIBE,"Product photography of brown leather Oxford dress shoes placed to the left of a tan leather briefcase on a dark marble floor, VIBE on shoe sole, professional editorial lighting","[""dress shoes"", ""briefcase""]","{""dress shoes"": ""brown"", ""briefcase"": ""tan""}","[""dress shoes left of briefcase""]","[""VIBE""]","[""editorial photography"", ""dark marble"", ""professional lighting""]"
MB079,fashion_apparel,WOVEN,"Product photography of a red winter jacket placed below black leather gloves on a white background, WOVEN label on jacket zip, cozy winter lighting","[""winter jacket"", ""leather gloves""]","{""winter jacket"": ""red"", ""leather gloves"": ""black""}","[""winter jacket below leather gloves""]","[""WOVEN""]","[""product photography"", ""white background"", ""soft lighting""]"
MB080,fashion_apparel,XARA,"Flat lay product shot of black athletic shorts placed below white running sneakers on a gray gym floor, XARA logo on shorts waistband, bright studio lighting","[""athletic shorts"", ""sneakers""]","{""athletic shorts"": ""black"", ""sneakers"": ""white""}","[""athletic shorts below sneakers""]","[""XARA""]","[""flat lay"", ""gray background"", ""bright lighting""]"
MB081,fashion_apparel,YARN,"Lifestyle flat lay of a beige canvas tote bag placed to the left of a white paperback book on a wooden surface, YARN on tote side, warm natural lighting","[""canvas tote bag"", ""paperback book""]","{""canvas tote bag"": ""beige"", ""paperback book"": ""white""}","[""canvas tote bag left of paperback book""]","[""YARN""]","[""flat lay"", ""wooden surface"", ""warm lighting""]"
MB082,fashion_apparel,ZOLA,"Fashion editorial product shot of a beige trench coat hung below a black umbrella against a white wall, ZOLA label on coat, clean editorial lighting","[""trench coat"", ""umbrella""]","{""trench coat"": ""beige"", ""umbrella"": ""black""}","[""trench coat below umbrella""]","[""ZOLA""]","[""editorial photography"", ""white wall"", ""clean lighting""]"
