prompt_id,category,image_id,caption_en,caption_translated,back_translated,cc_score,status,language
P018,vehicles,89556,A couple of silver cars parked around a fire hydrant.,Un par de coches plateados aparcados alrededor de una boca de incendios.,A pair of silver cars parked around a fire hydrant.,0.9824,PASS,es
P019,vehicles,269632,A bright yellow transit bus is making it's way down a street in the dark.,Un autobús de color amarillo brillante recorre una calle en la oscuridad.,A bright yellow bus drives down a street in the dark.,0.966,PASS,es
P020,vehicles,574425,Two old fashioned buses parked on the side of the road.,Dos autobuses antiguos aparcados a un lado de la carretera.,Two old buses parked at the side of the road.,0.9901,PASS,es
P021,vehicles,48924,A dirt bike parked near a tent in the woods.,Una moto de cross aparcada cerca de una tienda en el bosque.,A dirt bike parked near a tent in the forest.,0.9901,PASS,es
P022,vehicles,516143,a green and white bus is on the street,un autobús verde y blanco está en la calle,a green and white bus is on the street,1.0,PASS,es
P023,vehicles,259830,A moped is parked next to bicycles on a sidewalk.,Un ciclomotor está aparcado junto a bicicletas en una acera.,A moped is parked next to bicycles on a pavement.,0.9921,PASS,es
P024,vehicles,286507,A long red train traveling through snow covered country side.,Un largo tren rojo recorre un paisaje nevado.,A long red train runs through a snowy landscape.,0.9795,PASS,es
P025,vehicles,134722,Fast commuter train moving past an outdoor platform.,Tren rápido de cercanías pasando por un andén al aire libre.,Fast local train passing through an open-air platform.,0.9775,PASS,es
P026,vehicles,137727,A motorized cart fills a train with luggage,Un carro motorizado llena de equipaje un tren,A motorised carriage fills a train with luggage,0.964,PASS,es
P027,food,460929,A hot dog with mustard is next to a bottle of soda.,Un perrito caliente con mostaza está junto a una botella de refresco.,A hot dog with mustard is next to a bottle of soft drink.,0.9926,PASS,es
P028,food,47112,A dining table has a large pizza and wine glasses.,Una mesa de comedor tiene una pizza grande y copas de vino.,A dining table has a large pizza and wine glasses.,1.0,PASS,es
P029,food,99053,"A bowl of noodles, meat and broccoli with a fork.","Un bol de fideos, carne y brócoli con un tenedor.","A bowl of noodles, meat and broccoli with a fork.",1.0,PASS,es
P030,food,91406,Several women gathered together posing with 6 pizzas in take out boxes.,Varias mujeres reunidas posando con 6 pizzas en cajas para llevar.,Several women gathered together posing with 6 pizzas in take-away boxes.,0.9935,PASS,es
P031,food,108253,A plate of cheese bread next to bread sticks and wine.,Un plato de pan con queso junto a palitos de pan y vino.,A plate of bread and cheese with breadsticks and wine.,0.9852,PASS,es
P032,food,371472,A pile of pineapple sitting next to a pile of bananas.,Un montón de piñas junto a un montón de plátanos.,A pile of pineapples next to a pile of bananas.,0.9915,PASS,es
P033,food,66706,A plate topped with banana slice covered pan cakes.,Un plato cubierto con panqueques cubiertos de rodajas de plátano.,A plate covered with pancakes topped with banana slices.,0.961,PASS,es
P034,food,348708,The banana is laying next to an almost empty bowl.,El plátano está junto a un cuenco casi vacío.,The banana is next to an almost empty bowl.,0.9846,PASS,es
P035,food,323151,A pizza sitting on top of a white plate next to a glass of beer.,Una pizza sobre un plato blanco junto a un vaso de cerveza.,A pizza on a white plate next to a glass of beer.,0.985,PASS,es
P036,food,286908,Various dishes of food sit in bowls on a table.,Varios platos de comida en cuencos sobre una mesa.,Several plates of food in bowls on a table.,0.9753,PASS,es
P037,food,112378,A wooden table topped with a bunch of green bananas.,Una mesa de madera cubierta con un racimo de plátanos verdes.,A wooden table covered with a bunch of green bananas.,0.9943,PASS,es
P038,food,75456,A pizza with Canadian bacon and pineapple in a fluted pan.,Una pizza con bacon canadiense y piña en una sartén acanalada.,A pizza with Canadian bacon and pineapple in a fluted pan.,1.0,PASS,es
P039,animals,193162,a man on a three wheeler following behind a two dogs and a cow,un hombre en un triciclo siguiendo a dos perros y una vaca,a man on a tricycle following two dogs and a cow,0.9723,PASS,es
P040,animals,90062,A black and white cow stands in a paddock with firewood in the background.,Una vaca blanca y negra en un prado con leña al fondo.,A black and white cow in a meadow with firewood in the background.,0.9427,PASS,es
P041,animals,155571,An elephant walking across a green grass covered field.,Un elefante camina por un campo cubierto de hierba verde.,An elephant walks through a field covered with green grass.,0.9861,PASS,es
P042,animals,357060,A bird is trying to find food in the water.,Un pájaro intenta encontrar comida en el agua.,A bird tries to find food in the water.,0.993,PASS,es
P043,animals,345261,Two giraffe standing on to of a dry grass covered field.,Dos jirafas de pie sobre un campo cubierto de hierba seca.,Two giraffes standing on a field covered with dry grass.,0.9853,PASS,es
P044,animals,347664,A herd of cattle walking across a sandy beach near the ocean.,Un rebaño de ganado caminando por una playa de arena cerca del océano.,A herd of cattle walking along a sandy beach near the ocean.,0.9987,PASS,es
P045,animals,222235,A cat is playing with a plan in a park.,Un gato juega con un plan en un parque.,A cat plays with a plan in a park.,0.9972,PASS,es
P046,animals,180011,"Four young giraffes in a zoo, with one of them being fed leaves by a person","Cuatro jirafas jóvenes en un zoo, con una de ellas siendo alimentada con hojas por una persona","Four young giraffes at a zoo, with one of them being fed leaves by a person.",0.9958,PASS,es
P047,animals,512648,A brown cow under a tree in a grassy area.,Una vaca parda bajo un árbol en una zona de hierba.,A brown cow under a tree in a grassy area.,1.0,PASS,es
P048,animals,547383,Two adult sheep lay on the green grass.,Dos ovejas adultas yacen sobre la hierba verde.,Two adult sheep lie on the green grass.,0.992,PASS,es
P049,animals,357081,A photograph of two cows grazing on a green pasture.,Fotografía de dos vacas pastando en un prado verde.,Photograph of two cows grazing in a green meadow.,0.9883,PASS,es
P050,animals,1675,A cat resting on an open laptop computer.,Un gato descansando sobre un ordenador portátil abierto.,A cat resting on an open laptop computer.,1.0,PASS,es
P001,people,235836,A boy playing baseball about to hit a ball.,صبي يلعب البيسبول على وشك أن يضرب الكرة.,A boy playing baseball is about to hit the ball.,0.9742,PASS,ar
P002,people,186449,An elderly woman sits on a bench with a crowd behind her.,امرأة مسنة تجلس على مقعد وخلفها حشد من الناس.,An elderly woman sits on a bench with a crowd of people behind her.,0.9967,PASS,ar
P003,people,17436,A man sitting on a bench with a tall building behind him.,رجل يجلس على مقعد وخلفه مبنى مرتفع.,A man sits on a bench with a tall building behind him.,0.9979,PASS,ar
P004,people,161781,A woman in gear skiing down a snowy slope,امرأة في ترس تتزلج على منحدر ثلجي,Woman in gear skiing down a snowy slope,0.9919,PASS,ar
P005,people,2473,A man flying through the air while riding skis.,رجل يطير في الهواء أثناء ركوبه الزلاجات.,A man flies through the air while riding skis.,0.9947,PASS,ar
P006,people,438907,A man is doing a trick on a skateboard.,رجل يقوم بخدعة على لوح تزلج.,A man doing a trick on a skateboard.,0.9913,PASS,ar
P007,people,476415,A man wearing a white shirt and tie standing in  a room.,رجل يرتدي قميصاً أبيض وربطة عنق بيضاء يقف في غرفة.,A man wearing a white shirt and white tie stands in a room.,0.9922,PASS,ar
P008,people,572462,A group of people standing inside of a moving tram.,مجموعة من الأشخاص يقفون داخل ترام متحرك.,A group of people standing inside a moving tram.,0.9992,PASS,ar
P009,people,259690,A handicapped man in a wheelchair is being helped to hold the bat by another man on a tee ball,رجل معاق على كرسي متحرك يساعده رجل آخر في حمل المضرب على كرة القدم,A disabled man in a wheelchair is helped by another man to carry a football bat,0.9499,PASS,ar
P010,people,447187,A man is swinging a bat a ball being pitched at him.,رجل يتأرجح بمضربه على كرة تُقذف إليه.,A man swings his bat at a ball thrown to him.,0.9816,PASS,ar
P011,people,308394,An older woman riding a train while sitting under it's window.,امرأة عجوز تركب القطار بينما تجلس تحت نافذته.,An old woman rides the train while sitting under the window.,0.9839,PASS,ar
P012,people,240250,A woman sitting down at a table with pizza.,امرأة تجلس على طاولة عليها بيتزا.,A woman sits at a table with a pizza on it.,0.9913,PASS,ar
