brief_id,prompt_en,prompt_ar,brand_name,tokens_en,tokens_ar,en_truncated,ar_truncated,ar_tokens_dropped,token_ratio_ar_over_en,brand_char_fraction,ar_survival_fraction,brand_likely_truncated
MB014,"Studio product shot of a black webcam mounted above a white monitor on a desk, OPUS logo on webcam body, clean office setup",صورة منتج تم التقاطها في الاستوديو لكاميرا ويب سوداء مثبتة فوق شاشة بيضاء على مكتب، مع شعار OPUS على هيكل الكاميرا، في بيئة مكتبية مرتبة,OPUS,25,113,False,True,38,4.52,0.6764705882352942,0.6637168141592921,True
MB015,"Action product shot of an orange action camera placed to the left of a white cycling helmet on a rocky surface, PHASE on camera body, outdoor lighting",صورة منتج لكاميرا مغامرات برتقالية اللون موضوعة على يسار خوذة دراجات بيضاء فوق سطح صخري، مع ظهور كلمة «PHASE» على هيكل الكاميرا، وإضاءة خارجية,PHASE,29,121,False,True,46,4.172413793103448,0.7253521126760564,0.6198347107438017,True
MB016,"Lifestyle shot of a white cylindrical smart speaker placed to the left of a black digital clock on a white nightstand, QUBIT logo on speaker top, soft ambient lighting",صورة تعكس نمط الحياة تُظهر مكبر صوت ذكي أسطواني أبيض اللون موضوعًا على يسار ساعة رقمية سوداء فوق منضدة سرير بيضاء، مع شعار «QUBIT» على الجزء العلوي من مكبر الصوت، وإضاءة محيطة خافتة,QUBIT,35,160,False,True,85,4.571428571428571,0.6850828729281768,0.46875,True
MB017,"Product photography of a white VR headset placed above two black motion controllers on a dark surface, RADIUS logo on headset visor, dramatic studio lighting",صورة منتج تُظهر سماعة رأس الواقع الافتراضي بيضاء اللون موضوعة فوق جهازي تحكم بالحركة أسودين على سطح داكن، مع شعار RADIUS على حاجب السماعة، وإضاءة استوديو درامية,RADIUS,27,140,False,True,65,5.185185185185185,0.7125,0.5357142857142857,True
MB018,"Studio product shot of a black curved monitor with a silver keyboard placed below it on a glass desk, SPARK logo on monitor bezel, blue ambient lighting",صورة منتج تم التقاطها في الاستوديو لشاشة منحنية سوداء مع لوحة مفاتيح فضية موضوعة أسفلها على مكتب زجاجي، وشعار SPARK على إطار الشاشة، وإضاءة محيطة زرقاء,SPARK,30,131,False,True,56,4.366666666666666,0.7284768211920529,0.5725190839694656,True
MB019,"Product photography of a black quadcopter drone placed to the left of a gray remote control on a white surface, VORTA logo on drone body, clean studio shot",صورة منتج لطائرة بدون طيار رباعية المراوح سوداء اللون موضوعة على يسار جهاز تحكم عن بعد رمادي اللون فوق سطح أبيض، مع شعار VORTA على هيكل الطائرة، لقطة استوديو واضحة,VORTA,31,138,False,True,63,4.451612903225806,0.7423312883435583,0.5434782608695652,True
MB020,"Flat lay product shot of a white e-reader placed to the left of black reading glasses on a beige linen surface, RIVOX on e-reader screen, natural light",صورة منتج مأخوذة بتقنية «فلات لاي» لقارئ إلكتروني أبيض موضوع على يسار نظارات قراءة سوداء فوق سطح من الكتان البيج، مع ظهور كلمة «RIVOX» على شاشة القارئ الإلكتروني، في ضوء طبيعي,RIVOX,34,156,False,True,81,4.588235294117647,0.7314285714285714,0.4807692307692308,True
MB021,"Product photography of a gray USB hub placed to the left of a silver laptop on a white desk surface, WAVE engraved on hub, clean minimalist setup",صورة منتج لموزع USB رمادي اللون موضوع على يسار حاسوب محمول فضي اللون فوق سطح مكتب أبيض، مع نقش «WAVE» على الموزع، في إطار بسيط وأنيق,WAVE,29,118,False,True,43,4.068965517241379,0.7272727272727273,0.635593220338983,True
MB022,"Product shot of a black gaming headset placed on a white headphone stand on a dark surface, XENON logo on ear cup, dramatic side lighting",صورة منتج لسماعة رأس ألعاب سوداء موضوعة على حامل سماعات أبيض فوق سطح داكن، مع شعار XENON على كأس الأذن، وإضاءة جانبية مثيرة,XENON,28,115,False,True,40,4.107142857142857,0.6747967479674797,0.6521739130434783,True
MB023,"Lifestyle product shot of a black fitness tracker placed to the left of a white smartphone on a marble surface, ZETA logo on tracker display, overhead lighting",صورة ترويجية لمنتج من فئة أسلوب الحياة تُظهر جهاز تتبع اللياقة البدنية الأسود موضوعًا على يسار هاتف ذكي أبيض على سطح رخامي، مع ظهور شعار ZETA على شاشة الجهاز، وتحت إضاءة علوية,ZETA,29,158,False,True,83,5.448275862068965,0.7828571428571428,0.47468354430379744,True
MB024,"Product photography of a white portable projector placed above a black remote control on a dark wood surface, AXON logo on projector body, studio lighting",صورة منتج لجهاز عرض محمول أبيض اللون موضوع فوق جهاز تحكم عن بُعد أسود على سطح خشبي داكن، مع شعار AXON على هيكل جهاز العرض، وإضاءة استوديو,AXON,28,124,False,True,49,4.428571428571429,0.708029197080292,0.6048387096774194,True
MB025,"Product shot of rose gold smart glasses placed above a black glasses case on a white surface, BREEZE logo on case lid, soft natural lighting",صورة منتج لنظارات ذكية بلون الذهب الوردي موضوعة فوق حافظة نظارات سوداء على سطح أبيض، مع شعار BREEZE على غطاء الحافظة، وإضاءة طبيعية خافتة,BREEZE,27,121,False,True,46,4.481481481481482,0.6788321167883211,0.6198347107438017,True
MB026,"Clean product photography of a silver portable SSD with a blue USB cable placed to its right on a white surface, CREST on SSD body, minimalist style",صورة منتج واضحة لقرص SSD محمول فضي اللون مع كابل USB أزرق موضوع على يمينه على سطح أبيض، مع وجود شعار «CREST» على هيكل القرص، بأسلوب بسيط,CREST,29,119,False,True,44,4.103448275862069,0.75,0.6302521008403361,True
MB027,"Product photography of a white wireless charging pad with a black smartphone placed on top of it on a wooden nightstand, DAWN on charging pad, warm morning light",صورة منتج تُظهر قاعدة شحن لاسلكية بيضاء اللون، مع هاتف ذكي أسود موضوع فوقها على منضدة نوم خشبية، وكلمة «DAWN» مكتوبة على قاعدة الشحن، وضوء الصباح الدافئ,DAWN,31,137,False,True,62,4.419354838709677,0.6842105263157895,0.5474452554744526,True
MB028,"Product photography of a black smart lock device mounted above a silver door handle on a white door, NYRIC logo on lock display, clean editorial shot",صورة منتج لجهاز قفل ذكي أسود مثبت فوق مقبض باب فضي على باب أبيض، مع ظهور شعار NYRIC على شاشة القفل، لقطة تحريرية واضحة,NYRIC,29,103,False,True,28,3.5517241379310347,0.6610169491525424,0.7281553398058253,False
MB029,"Product photography of a white WiFi router with a yellow ethernet cable placed below it on a gray surface, FUSE on router top, clean studio shot",صورة منتج لجهاز توجيه واي فاي أبيض اللون مع كابل إيثرنت أصفر موضوع أسفله على سطح رمادي، وكلمة «FUSE» مكتوبة على الجزء العلوي من جهاز التوجيه، لقطة استوديو واضحة,FUSE,28,140,False,True,65,5.0,0.59375,0.5357142857142857,True
MB030,"Product photography of a black gaming mouse with RGB lighting placed on a red mousepad, GRID logo on mouse, dark gaming desk aesthetic",صورة منتج لفأرة ألعاب سوداء مزودة بإضاءة RGB موضوعة على لوحة فأرة حمراء، مع شعار GRID على الفأرة، وديكور مكتبي داكن مخصص للألعاب,GRID,27,114,False,True,39,4.222222222222222,0.6328125,0.6578947368421053,False
MB031,"Product photography of an orange glass juice bottle placed to the left of a white ceramic cup on a marble surface, ZEST label on bottle, bright natural lighting",صورة منتج لزجاجة عصير زجاجية برتقالية اللون موضوعة على يسار كوب خزفي أبيض فوق سطح رخامي، مع وجود ملصق «ZEST» على الزجاجة، في إضاءة طبيعية ساطعة,ZEST,30,124,False,True,49,4.133333333333334,0.7202797202797203,0.6048387096774194,True
MB032,"Flat lay of a brown kraft coffee bag placed above a black espresso cup on a wooden table, PURE on bag front, warm cafe lighting",صورة مأخوذة من زاوية علوية لكيس قهوة بني من ورق الكرافت موضوع فوق فنجان إسبريسو أسود على طاولة خشبية، مع كلمة «PURE» على واجهة الكيس، وإضاءة دافئة على غرار المقاهي,PURE,27,143,False,True,68,5.296296296296297,0.6809815950920245,0.5244755244755245,True
MB033,"Product photography of a yellow cereal box placed to the left of a white milk carton on a bright kitchen counter, BLOOM on box front, morning light",صورة منتج لعلبة حبوب إفطار صفراء موضوعة على يسار كرتونة حليب بيضاء على منضدة مطبخ مشرقة، وكلمة «BLOOM» مكتوبة على واجهة العلبة، في ضوء الصباح,BLOOM,29,123,False,True,48,4.241379310344827,0.6808510638297872,0.6097560975609756,True
MB034,"Product shot of a red hot sauce bottle placed to the right of a brown wooden cutting board on a rustic table, GROVE label on bottle, warm natural lighting",صورة منتج لزجاجة صلصة حارة حمراء موضوعة على يمين لوح تقطيع خشبي بني فوق طاولة ذات طابع ريفي، مع وجود ملصق «GROVE» على الزجاجة، وإضاءة طبيعية دافئة,GROVE,31,128,False,True,53,4.129032258064516,0.7328767123287672,0.5859375,True
MB035,"Product photography of a green wine bottle placed to the right of a bunch of purple grapes on white marble, FRESH label on bottle, elegant natural lighting",صورة ترويجية لمنتج تُظهر زجاجة نبيذ خضراء موضوعة على يمين عنقود عنب أرجواني فوق رخام أبيض، مع وجود ملصق «FRESH» على الزجاجة، وإضاءة طبيعية أنيقة,FRESH,29,132,False,True,57,4.551724137931035,0.7291666666666666,0.5681818181818182,True
MB036,"Flat lay of a teal tea box placed above a white ceramic teacup and saucer on a light gray surface, CRISP on box lid, soft natural lighting",صورة مأخوذة من زاوية علوية لعلبة شاي بلون أزرق مخضر موضوعة فوق فنجان شاي خزفي أبيض وصحن صغير على سطح رمادي فاتح، وكلمة «CRISP» مكتوبة على غطاء العلبة، وإضاءة طبيعية ناعمة,CRISP,30,150,False,True,75,5.0,0.7058823529411765,0.5,True
MB037,"Product shot of a black aluminum energy drink can placed to the left of a silver dumbbell on a dark gym surface, BOLD on can front, dramatic lighting",صورة منتج لعلبة مشروب طاقة من الألومنيوم الأسود موضوعة على يسار دمبل فضي فوق أرضية صالة رياضية داكنة، وكلمة «BOLD» مكتوبة على واجهة العلبة، مع إضاءة درامية,BOLD,31,134,False,True,59,4.32258064516129,0.7032258064516129,0.5597014925373134,True
MB038,"Product photography of a blue aluminum water bottle placed above yellow lemon slices on a white marble surface, MIST label on bottle, bright natural lighting",صورة منتج لزجاجة مياه زرقاء مصنوعة من الألومنيوم موضوعة فوق شرائح ليمون صفراء على سطح رخامي أبيض، مع وجود ملصق «MIST» على الزجاجة، وإضاءة طبيعية ساطعة,MIST,27,134,False,True,59,4.962962962962963,0.7466666666666667,0.5597014925373134,True
MB039,"Product flat lay of a white yogurt container placed to the left of red strawberries on a pink pastel surface, GLOW on container, soft morning light",صورة منتج مأخوذة من زاوية مسطحة لوعاء زبادي أبيض موضوع على يسار حبات فراولة حمراء فوق سطح وردي فاتح، مع كلمة «GLOW» مكتوبة على الوعاء، في ضوء الصباح الناعم,GLOW,28,136,False,True,61,4.857142857142857,0.7096774193548387,0.5514705882352942,True
MB040,"Product photography of a red round cookie tin placed to the right of a white glass of milk on a wooden kitchen surface, PETAL on tin lid, warm kitchen lighting",صورة منتج لعلبة بسكويت مستديرة حمراء موضوعة على يمين كوب زجاجي أبيض من الحليب على سطح خشبي في المطبخ، وكلمة «PETAL» مكتوبة على غطاء العلبة، وإضاءة دافئة في المطبخ,PETAL,32,140,False,True,65,4.375,0.6728395061728395,0.5357142857142857,True
MB041,"Product photography of a blue soda can placed to the left of a silver ice bucket on a dark bar surface, QUENCH logo on can front, cool atmospheric lighting",صورة منتج لعلبة صودا زرقاء موضوعة على يسار دلو ثلج فضي فوق سطح بار داكن، مع شعار «QUENCH» على مقدمة العلبة، وإضاءة جذابة تخلق أجواءً رائعة,QUENCH,32,125,False,True,50,3.90625,0.5942028985507246,0.6,False
MB042,"Product photography of a black protein powder jar placed to the left of a white shaker bottle on a gym floor, RIPPLE on jar label, dramatic gym lighting",صورة منتج لوعاء أسود من مسحوق البروتين موضوع على يسار زجاجة شاكر بيضاء على أرضية صالة رياضية، مع وجود كلمة «RIPPLE» على ملصق الوعاء، وإضاءة درامية في الصالة الرياضية,RIPPLE,30,139,False,True,64,4.633333333333334,0.6545454545454545,0.539568345323741,True
MB043,"Product photography of a tall green glass olive oil bottle placed above a white garlic bulb on a marble surface, SWAY label on bottle, soft natural light",صورة منتج لزجاجة زجاجية خضراء طويلة من زيت الزيتون موضوعة فوق رأس ثوم أبيض على سطح رخامي، مع وجود ملصق «SWAY» على الزجاجة، في ضوء طبيعي خافت,SWAY,29,125,False,True,50,4.310344827586207,0.7428571428571429,0.6,True
MB044,"Product flat lay of a brown paper-wrapped granola bar placed to the left of a ripe yellow banana on a white surface, TEMPO on wrapper, bright studio lighting",صورة منتج مأخوذة من زاوية مسطحة لقطعة غرانولا ملفوفة بورق بني، موضوعة على يسار موزة صفراء ناضجة على سطح أبيض، مع ظهور كلمة «TEMPO» على الغلاف، وإضاءة استوديو ساطعة,TEMPO,33,145,False,True,70,4.393939393939394,0.7607361963190185,0.5172413793103449,True
MB045,"Product photography of a brown cold brew coffee bottle placed to the left of a silver metal straw on a dark concrete surface, UMBER label on bottle, moody lighting",صورة منتج لزجاجة قهوة «كولد برو» بنية اللون موضوعة على يسار ماصّة معدنية فضية فوق سطح خرساني داكن، مع ملصق «أومبر» على الزجاجة، وإضاءة ذات أجواء خاصة,UMBER,32,136,False,True,61,4.25,,0.5514705882352942,False
MB046,"Product photography of a blue sparkling water can placed to the left of a fresh green lime on white marble, VERDE on can, fresh natural lighting",صورة منتج لعلبة مياه فوارة زرقاء موضوعة على يسار ليمونة خضراء طازجة فوق رخام أبيض، مع وجود كلمة «VERDE» على العلبة، وإضاءة طبيعية طازجة,VERDE,28,118,False,True,43,4.214285714285714,0.7185185185185186,0.635593220338983,True
MB047,"Product photography of an amber honey jar placed above a slice of brown toast on a wooden breakfast board, WARM on jar lid, cozy morning lighting",صورة منتج لوعاء عسل كهرماني اللون موضوع فوق شريحة من الخبز المحمص البني على لوح خشبي مخصص للإفطار، وكلمة «WARM» مكتوبة على غطاء الوعاء، وإضاءة صباحية دافئة,WARM,28,134,False,True,59,4.785714285714286,0.6838709677419355,0.5597014925373134,True
MB048,"Product photography of a purple smoothie bottle placed to the left of fresh red berries on a white surface, XTRA label on bottle, vibrant natural lighting",صورة منتج لزجاجة سموذي أرجوانية موضوعة على يسار حبات التوت الأحمر الطازجة على سطح أبيض، مع وجود ملصق «XTRA» على الزجاجة، وإضاءة طبيعية زاهية,XTRA,28,125,False,True,50,4.464285714285714,0.7285714285714285,0.6,True
MB049,"Product photography of a white glass tea bottle placed to the right of a green bamboo stalk on a light gray surface, YUMA label on bottle, minimal zen composition",صورة منتج لزجاجة شاي زجاجية بيضاء موضوعة على يمين ساق من الخيزران الأخضر فوق سطح رمادي فاتح، مع وجود ملصق «YUMA» على الزجاجة، في تركيبة بسيطة على طراز «الزين»,YUMA,31,136,False,True,61,4.387096774193548,0.6772151898734177,0.5514705882352942,True
MB050,"Product photography of a dark brown chocolate bar partially wrapped in a gold foil wrapper on a black marble surface, ZEAL on wrapper, luxury editorial lighting",صورة منتج لقطعة شوكولاتة بنية داكنة ملفوفة جزئيًا بورق ذهبي على سطح من الرخام الأسود، مع كتابة «ZEAL» على الغلاف، وإضاءة فاخرة على غرار الصور التحريرية,ZEAL,31,130,False,True,55,4.193548387096774,0.6357615894039735,0.5769230769230769,True
MB051,"Product photography of an orange juice pouch placed to the right of a brown wooden straw on a white surface, AMBER on pouch, natural bright lighting",صورة منتج لعلبة عصير برتقال موضوعة على يمين قشة خشبية بنية اللون فوق سطح أبيض، مع وجود كلمة «AMBER» على العلبة، وإضاءة طبيعية ساطعة,AMBER,28,114,False,True,39,4.071428571428571,0.7099236641221374,0.6578947368421053,True
MB052,"Flat lay of a brown almond butter jar placed above slices of white bread on a light blue surface, BRISK on jar label, morning lifestyle lighting",صورة مأخوذة من زاوية مسطحة لوعاء بني من زبدة اللوز موضوع فوق شرائح من الخبز الأبيض على سطح أزرق فاتح، مع كلمة «BRISK» على ملصق الوعاء، وإضاءة تعكس أجواء نمط الحياة الصباحية,BRISK,28,155,False,True,80,5.535714285714286,0.6453488372093024,0.4838709677419355,True
MB053,"Product photography of a brown glass kombucha bottle placed to the right of a yellow ginger root on a dark wooden surface, COVE label on bottle, moody natural lighting",صورة منتج لزجاجة كومبوتشا زجاجية بنية اللون موضوعة على يمين جذر زنجبيل أصفر على سطح خشبي داكن، مع وجود ملصق «COVE» على الزجاجة، وإضاءة طبيعية تضفي جوًّا رومانسيًّا,COVE,31,148,False,True,73,4.774193548387097,0.6687116564417178,0.5067567567567568,True
MB054,"Product photography of a blue water bottle placed above a bunch of fresh green mint sprigs on a white marble surface, DRIP label on bottle, fresh bright lighting",صورة ترويجية لمنتج عبارة عن زجاجة مياه زرقاء موضوعة فوق باقة من أغصان النعناع الأخضر الطازجة على سطح من الرخام الأبيض، مع وجود ملصق «DRIP» على الزجاجة، وإضاءة مشرقة ونقية,DRIP,31,146,False,True,71,4.709677419354839,0.7823529411764706,0.5136986301369864,True
MB055,"Product photography of a green matcha tin placed to the right of a brown bamboo whisk on a white ceramic surface, ELIXIR on tin lid, minimal Japanese-inspired composition",صورة منتج لعلبة ماتشا خضراء موضوعة على يمين خفاقة من الخيزران البني فوق سطح خزفي أبيض، مع كلمة «ELIXIR» مكتوبة على غطاء العلبة، وتركيبة بسيطة مستوحاة من الطراز الياباني,ELIXIR,33,139,False,True,64,4.212121212121212,0.5714285714285714,0.539568345323741,True
MB056,"Lifestyle product shot of a white oat milk carton placed to the right of a brown ceramic bowl filled with granola on a wooden table, FERN on carton front, warm morning lighting",صورة ترويجية لمنتج من فئة أسلوب الحياة تُظهر علبة حليب الشوفان البيضاء موضوعة على يمين وعاء خزفي بني مملوء بالجرانولا على طاولة خشبية، مع ظهور كلمة «FERN» على واجهة العلبة، في إضاءة صباحية دافئة,FERN,34,168,False,True,93,4.9411764705882355,0.7680412371134021,0.44642857142857145,True
MB057,"Product photography of a white aluminum coconut water can placed to the right of a brown coconut on a sandy surface, GUSTO on can, tropical bright lighting",صورة ترويجية لمنتج عبارة عن علبة بيضاء من الألومنيوم تحتوي على ماء جوز الهند، موضوعة على يمين جوزة هند بنية اللون فوق سطح رملي، مع وجود كلمة «GUSTO» مكتوبة على العلبة، وإضاءة استوائية مشرقة,GUSTO,29,162,False,True,87,5.586206896551724,0.7513227513227513,0.46296296296296297,True
MB058,"Product photography of a small yellow glass shot bottle placed above a fresh orange turmeric root on a white surface, HERBA label on bottle, clean studio lighting",صورة منتج لزجاجة شوت صغيرة من الزجاج الأصفر موضوعة فوق جذر كركم برتقالي طازج على سطح أبيض، مع وجود ملصق «HERBA» على الزجاجة، وإضاءة استوديو نقية,HERBA,30,128,False,True,53,4.266666666666667,0.7291666666666666,0.5859375,True
MB059,"Product photography of a purple glass sparkling juice bottle placed to the right of a bunch of green grapes on white marble, INFUSE label on bottle, elegant lighting",صورة منتج لزجاجة عصير فوارة من الزجاج الأرجواني موضوعة على يمين عنقود عنب أخضر فوق رخام أبيض، مع وجود ملصق «INFUSE» على الزجاجة، وإضاءة أنيقة,INFUSE,31,124,False,True,49,4.0,0.7659574468085106,0.6048387096774194,True
MB060,"Product photography of a green cold press juice bottle placed below fresh orange carrots on a white wooden surface, JUVO label on bottle, bright natural lighting",صورة منتج لزجاجة عصير خضراء معصورة على البارد، موضوعة أسفل جزر برتقالي طازج على سطح خشبي أبيض، مع وجود ملصق «JUVO» على الزجاجة، وإضاءة طبيعية ساطعة,JUVO,29,132,False,True,57,4.551724137931035,0.7414965986394558,0.5681818181818182,True
MB061,"Product photography of a white sneaker placed above its red shoebox on a clean white surface, MODE logo on shoe tongue, studio lighting",صورة منتج لحذاء رياضي أبيض موضوع فوق صندوقه الأحمر على سطح أبيض نظيف، مع شعار MODE على لسان الحذاء، وإضاءة الاستوديو,MODE,26,108,False,True,33,4.153846153846154,0.6724137931034483,0.6944444444444444,False
MB062,"Product photography of a black leather jacket hanging on a brown wooden hanger against a white wall, LUXE label on jacket, soft editorial lighting",صورة منتج لسترة جلدية سوداء معلقة على علاقة خشبية بنية اللون أمام حائط أبيض، مع وجود علامة «LUXE» على السترة، وإضاءة تحريرية ناعمة,LUXE,26,111,False,True,36,4.269230769230769,0.7076923076923077,0.6756756756756757,True
MB063,"Fashion product shot of a tan leather handbag placed to the left of black sunglasses on a white surface, FORM logo on bag hardware, clean editorial lighting",صورة ترويجية لمنتج أزياء تُظهر حقيبة يد جلدية بلون بني فاتح موضوعة على يسار نظارات شمسية سوداء فوق سطح أبيض، مع شعار FORM على قطع التثبيت المعدنية للحقيبة، وإضاءة تحريرية بسيطة,FORM,29,157,False,True,82,5.413793103448276,0.6647727272727273,0.47770700636942676,True
MB064,"Product photography of a gold wristwatch placed above a black leather watch box on a dark marble surface, GRACE logo on watch face, luxury editorial lighting",صورة ترويجية لمنتج تُظهر ساعة يد ذهبية موضوعة فوق صندوق ساعات من الجلد الأسود على سطح رخامي داكن، مع شعار «GRACE» على وجه الساعة، وإضاءة فاخرة على غرار الصور التحريرية,GRACE,29,142,False,True,67,4.896551724137931,0.6407185628742516,0.528169014084507,True
MB065,"Product photography of brown tortoiseshell sunglasses placed above a black leather glasses case on a white background, HAVEN on case, clean studio shot",صورة منتج لنظارات شمسية بلون بني مرقط موضوعة فوق حافظة نظارات جلدية سوداء على خلفية بيضاء، مع كتابة «HAVEN» على الحافظة، لقطة استوديو واضحة,HAVEN,28,122,False,True,47,4.357142857142857,0.7266187050359713,0.6147540983606558,True
MB066,"Product photography of blue running shoes placed to the left of white athletic socks on a gray concrete surface, INKE logo on shoe heel, lifestyle lighting",صورة منتج لأحذية جري زرقاء موضوعة على يسار جوارب رياضية بيضاء على سطح خرساني رمادي، مع شعار INKE على كعب الحذاء، وإضاءة تعكس نمط الحياة,INKE,29,120,False,True,45,4.137931034482759,0.6814814814814815,0.625,True
MB067,"Flat lay of a blue denim jacket placed above a white canvas tote bag on a light gray surface, JOIE on tote bag, natural lighting",صورة ممددة لسترة جينز زرقاء موضوعة فوق حقيبة قماشية بيضاء على سطح رمادي فاتح، مع كتابة «JOIE» على الحقيبة، وإضاءة طبيعية,JOIE,28,109,False,True,34,3.892857142857143,0.7333333333333333,0.6880733944954128,True
MB068,"Product photography of a brown leather tote bag placed to the left of a red silk scarf on a beige linen surface, KEEN embossed on bag, soft warm lighting",صورة منتج لحقيبة يد جلدية بنية اللون موضوعة على يسار وشاح حريري أحمر فوق سطح من الكتان البيج، مع شعار «KEEN» منقوش على الحقيبة، وإضاءة ناعمة ودافئة,KEEN,32,126,False,True,51,3.9375,0.7006802721088435,0.5952380952380952,True
