brief_id,language,category,extracted_value,ground_truth_value
MB055,de,objects,"['bamboo tea whisk', 'ceramic surface', 'matcha can']",matcha tin
MB055,de,colours,<missing>,green
MB055,de,spatial_constraints,"[('matcha can', 'right', 'bamboo tea whisk')]","('matcha tin', 'right', 'bamboo whisk')"
MB057,de,colours,brown,white
MB057,de,spatial_constraints,"[('aluminium can', 'right', 'coconut')]","('coconut water can', 'right', 'coconut')"
MB058,de,objects,"['kurkumawurzel', 'schnapsflasche']",shot bottle
MB058,de,objects,"['kurkumawurzel', 'schnapsflasche']",turmeric root
MB058,de,colours,<missing>,yellow
MB058,de,colours,<missing>,orange
MB058,de,spatial_constraints,"[('schnapsflasche', 'above', 'kurkumawurzel')]","('shot bottle', 'above', 'turmeric root')"
MB059,de,objects,"['glass bottle', 'grape']",sparkling juice bottle
MB059,de,colours,<missing>,purple
MB059,de,colours,none,green
MB059,de,spatial_constraints,"[('glass bottle', 'right', 'grape')]","('sparkling juice bottle', 'right', 'grape')"
MB061,de,objects,"['shoe box', 'sneaker']",shoebox
MB061,de,colours,<missing>,red
MB061,de,spatial_constraints,"[('sneaker', 'above', 'shoe box')]","('sneaker', 'above', 'shoebox')"
MB063,de,colours,light brown,tan
MB066,de,objects,"['running shoe', 'sports sock']",athletic sock
MB066,de,colours,<missing>,white
MB066,de,spatial_constraints,"[('running shoe', 'left', 'sports sock')]","('running shoe', 'left', 'athletic sock')"
MB067,de,objects,"['canvas bag', 'jeans jacket']",denim jacket
MB067,de,objects,"['canvas bag', 'jeans jacket']",tote bag
MB067,de,colours,<missing>,blue
MB067,de,colours,<missing>,white
MB067,de,spatial_constraints,"[('jeans jacket', 'above', 'canvas bag')]","('denim jacket', 'above', 'tote bag')"
MB070,de,objects,"['sport bh', 'yogamatte']",yoga mat
MB070,de,objects,"['sport bh', 'yogamatte']",sports bra
MB070,de,colours,<missing>,pink
MB070,de,colours,<missing>,purple
MB070,de,spatial_constraints,"[('sport bh', 'above', 'yogamatte')]","('sports bra', 'above', 'yoga mat')"
MB074,de,objects,"['knitted scarf', 'wood surface', 'wool pullover']",knit scarf
MB074,de,objects,"['knitted scarf', 'wood surface', 'wool pullover']",wool sweater
MB074,de,colours,<missing>,gray
MB074,de,colours,<missing>,white
MB074,de,spatial_constraints,"[('wool pullover', 'above', 'knitted scarf')]","('wool sweater', 'above', 'knit scarf')"
MB075,de,objects,"['badeanzug', 'sonnencremeflasche']",sunscreen bottle
MB075,de,objects,"['badeanzug', 'sonnencremeflasche']",swimsuit
MB075,de,colours,<missing>,orange
MB075,de,colours,<missing>,white
MB075,de,spatial_constraints,"[('badeanzug', 'left', 'sonnencremeflasche')]","('swimsuit', 'left', 'sunscreen bottle')"
MB076,de,objects,"['rucksack', 'wasserflasche']",backpack
MB076,de,objects,"['rucksack', 'wasserflasche']",water bottle
MB076,de,colours,<missing>,navy
MB076,de,colours,<missing>,silver
MB076,de,spatial_constraints,"[('rucksack', 'left', 'wasserflasche')]","('backpack', 'left', 'water bottle')"
MB077,de,objects,"['hoodie', 'jogging pant']",jogger pant
MB077,de,colours,grey,gray
MB077,de,colours,<missing>,black
MB077,de,spatial_constraints,"[('hoodie', 'above', 'jogging pant')]","('hoodie', 'above', 'jogger pant')"
MB078,de,colours,light brown,tan
MB080,de,objects,"['running shoe', 'sport short']",sneaker
MB080,de,objects,"['running shoe', 'sport short']",athletic short
MB080,de,colours,<missing>,black
MB080,de,colours,<missing>,white
MB080,de,spatial_constraints,"[('sport short', 'below', 'running shoe')]","('athletic short', 'below', 'sneaker')"
MB082,de,objects,"['trenchcoat', 'umbrella']",trench coat
MB082,de,colours,<missing>,beige
MB082,de,spatial_constraints,"[('trenchcoat', 'below', 'umbrella')]","('trench coat', 'below', 'umbrella')"
MB083,de,objects,"['bicycle helmet', 'cycling short']",cycling helmet
MB083,de,colours,<missing>,white
MB083,de,spatial_constraints,"[('cycling short', 'right', 'bicycle helmet')]","('cycling short', 'right', 'cycling helmet')"
MB085,de,objects,"['jacket', 'knit cap']",beanie hat
MB085,de,colours,<missing>,gray
MB085,de,spatial_constraints,"[('knit cap', 'below', 'jacket')]","('beanie hat', 'below', 'jacket')"
MB086,de,objects,"['leather clutch', 'plateau pump', 'underlay']",clutch bag
MB086,de,objects,"['leather clutch', 'plateau pump', 'underlay']",platform heel
MB086,de,colours,<missing>,black
MB086,de,colours,<missing>,red
MB086,de,spatial_constraints,"[('plateau pump', 'right', 'leather clutch')]","('platform heel', 'right', 'clutch bag')"
MB087,de,objects,"['cargopant', 'leather boot']",cargo pant
MB087,de,colours,<missing>,green
MB087,de,spatial_constraints,"[('cargopant', 'below', 'leather boot')]","('cargo pant', 'below', 'leather boot')"
MB089,de,objects,"['fitness legging', 'sports shoe']",gym legging
MB089,de,colours,<missing>,purple
MB089,de,spatial_constraints,"[('fitness legging', 'right', 'sports shoe')]","('gym legging', 'right', 'sports shoe')"
MB090,de,colours,light brown,tan
MB093,de,spatial_constraints,[],"('roof rack', 'above', 'suv')"
MB098,de,objects,"['compact car', 'parking sign']",city car
MB098,de,colours,<missing>,silver
MB098,de,spatial_constraints,"[('compact car', 'left', 'parking sign')]","('city car', 'left', 'parking sign')"
MB099,de,objects,"['cabriolet', 'car key']",convertible car
MB099,de,colours,<missing>,yellow
MB099,de,spatial_constraints,"[('cabriolet', 'above', 'car key')]","('convertible car', 'above', 'car key')"
MB100,de,colours,marine blue,navy
MB101,de,objects,"['checkered flag', 'race car']",racing car
MB101,de,colours,<missing>,red
MB101,de,spatial_constraints,"[('race car', 'left', 'checkered flag')]","('racing car', 'left', 'checkered flag')"
MB102,de,objects,"['leather racing glove', 'sport motorcycle']",sports motorcycle
MB102,de,colours,<missing>,silver
MB102,de,spatial_constraints,"[('sport motorcycle', 'above', 'leather racing glove')]","('sports motorcycle', 'above', 'racing glove')"
MB103,de,objects,"['kindersitz', 'limousine']",family sedan
MB103,de,objects,"['kindersitz', 'limousine']",child seat
MB103,de,colours,<missing>,white
MB103,de,colours,<missing>,black
MB103,de,spatial_constraints,"[('kindersitz', 'right', 'limousine')]","('child seat', 'right', 'family sedan')"
MB105,de,objects,"['keychain', 'limousine']",sedan
MB105,de,objects,"['keychain', 'limousine']",key fob
MB105,de,colours,<missing>,black
MB105,de,colours,<missing>,gold
MB105,de,spatial_constraints,"[('limousine', 'above', 'keychain')]","('sedan', 'above', 'key fob')"
MB106,de,objects,"['charging cable', 'e bike']",electric bicycle
MB106,de,colours,<missing>,white
MB106,de,spatial_constraints,"[('e bike', 'left', 'charging cable')]","('electric bicycle', 'left', 'charging cable')"
MB107,de,objects,"['race car', 'trophy']",racing car
MB107,de,colours,<missing>,red
MB107,de,spatial_constraints,"[('race car', 'left', 'trophy')]","('racing car', 'left', 'trophy')"
MB108,de,required_text,[],ZOOM
MB109,de,objects,"['camping tent', 'motorhome']",campervan
MB109,de,colours,<missing>,beige
MB109,de,spatial_constraints,"[('motorhome', 'left', 'camping tent')]","('campervan', 'left', 'camping tent')"
MB110,de,objects,"['oldtimer', 'zapfsäule']",fuel pump
MB110,de,objects,"['oldtimer', 'zapfsäule']",vintage car
MB110,de,colours,<missing>,blue
MB110,de,colours,<missing>,silver
MB110,de,spatial_constraints,"[('oldtimer', 'left', 'zapfsäule')]","('vintage car', 'left', 'fuel pump')"
MB111,de,objects,"['roof rack', 'sport hatchback']",sports hatchback
MB111,de,colours,<missing>,black
MB111,de,spatial_constraints,[],"('roof rack', 'above', 'sports hatchback')"
MB115,de,objects,['limousine'],red carpet
MB115,de,colours,<missing>,red
MB115,de,spatial_constraints,[],"('limousine', 'above', 'red carpet')"
MB116,de,objects,"['off road vehicle', 'snow chain']",all terrain vehicle
MB116,de,colours,<missing>,gray
MB116,de,spatial_constraints,"[('off road vehicle', 'right', 'snow chain')]","('all terrain vehicle', 'right', 'snow chain')"
MB119,de,objects,"['city map', 'small car']",micro car
MB119,de,colours,<missing>,red
MB119,de,spatial_constraints,"[('small car', 'right', 'city map')]","('micro car', 'right', 'city map')"
MB120,de,objects,"['rennstrecken kegel', 'superbike']",track cone
MB120,de,colours,<missing>,black
MB120,de,spatial_constraints,"[('superbike', 'right', 'rennstrecken kegel')]","('superbike', 'right', 'track cone')"
MB121,de,objects,"['water bottle', 'yogamat']",yoga mat
MB121,de,colours,<missing>,purple
MB121,de,spatial_constraints,"[('yogamat', 'left', 'water bottle')]","('yoga mat', 'left', 'water bottle')"
MB123,de,objects,"['sports bag', 'towel']",gym bag
MB123,de,colours,<missing>,black
MB123,de,spatial_constraints,"[('sports bag', 'left', 'towel')]","('gym bag', 'left', 'towel')"
MB127,de,spatial_constraints,[],"('foam roller', 'above', 'yoga mat')"
MB129,de,objects,"['ceramic diffuser', 'glass bottle']",essential oil bottle
MB129,de,colours,<missing>,brown
MB129,de,spatial_constraints,"[('glass bottle', 'left', 'ceramic diffuser')]","('essential oil bottle', 'left', 'ceramic diffuser')"
MB130,de,spatial_constraints,[],"('sleep mask', 'above', 'pillow')"
MB131,de,objects,"['diary', 'pen']",journal
MB131,de,colours,<missing>,white
MB131,de,spatial_constraints,"[('diary', 'left', 'pen')]","('journal', 'left', 'pen')"
MB133,de,objects,"['charging station', 'massage gun']",charging base
MB133,de,colours,<missing>,white
MB133,de,spatial_constraints,"[('massage gun', 'above', 'charging station')]","('massage gun', 'above', 'charging base')"
MB134,de,objects,"['gla', 'tiegel']",glass
MB134,de,objects,"['gla', 'tiegel']",collagen powder jar
MB134,de,colours,<missing>,white
MB134,de,colours,<missing>,pink
MB134,de,spatial_constraints,"[('tiegel', 'left', 'gla')]","('collagen powder jar', 'left', 'glass')"
MB135,de,objects,"['bag', 'thermos flask']",thermo
MB135,de,colours,<missing>,green
MB135,de,spatial_constraints,"[('thermos flask', 'left', 'bag')]","('thermo', 'left', 'trail mix bag')"
MB139,de,objects,"['balance board', 'sports shoe']",sneaker
MB139,de,colours,blue green,teal
MB139,de,colours,<missing>,white
MB139,de,spatial_constraints,"[('balance board', 'above', 'sports shoe')]","('balance board', 'above', 'sneaker')"
MB143,de,objects,"['energy bar', 'packaging', 'water bottle']",nutrition bar
MB143,de,colours,<missing>,green
MB143,de,spatial_constraints,"[('packaging', 'above', 'water bottle')]","('nutrition bar', 'above', 'water bottle')"
MB145,de,objects,"['eye cream tube', 'hand mirror']",handheld mirror
MB145,de,colours,<missing>,gold
MB145,de,spatial_constraints,"[('eye cream tube', 'right', 'hand mirror')]","('eye cream tube', 'right', 'handheld mirror')"
MB146,de,objects,"['stretch band', 'yoga mat']",stretching strap
MB146,de,colours,<missing>,blue
MB146,de,spatial_constraints,"[('stretch band', 'below', 'yoga mat')]","('stretching strap', 'below', 'yoga mat')"
MB148,de,objects,"['drinking vest', 'trail running shoe']",hydration vest
MB148,de,colours,<missing>,blue
MB148,de,spatial_constraints,"[('drinking vest', 'below', 'trail running shoe')]","('hydration vest', 'below', 'trail running shoe')"
MB150,de,objects,"['cold water tub', 'towel']",cold plunge tub
MB150,de,colours,<missing>,white
MB150,de,spatial_constraints,"[('cold water tub', 'right', 'towel')]","('cold plunge tub', 'right', 'towel')"
MB002,fr,objects,"['bureau', 'ordinateur portable', 'souris sans fil']",wireless mouse
MB002,fr,objects,"['bureau', 'ordinateur portable', 'souris sans fil']",laptop
MB002,fr,colours,<missing>,black
MB002,fr,colours,<missing>,white
MB002,fr,spatial_constraints,"[('souris sans fil', 'right', 'ordinateur portable')]","('wireless mouse', 'right', 'laptop')"
MB003,fr,objects,"['charging case', 'earphone']",wireless earbud
MB003,fr,colours,<missing>,white
MB003,fr,spatial_constraints,"[('earphone', 'above', 'charging case')]","('wireless earbud', 'above', 'charging case')"
MB004,fr,objects,"['smartphone', 'socle']",metal stand
MB004,fr,colours,<missing>,silver
MB004,fr,spatial_constraints,[],"('smartphone', 'above', 'metal stand')"
MB005,fr,objects,"['stylu', 'tablet']",stylus pen
MB005,fr,colours,<missing>,gold
MB005,fr,spatial_constraints,"[('stylu', 'right', 'tablet')]","('stylus pen', 'right', 'tablet')"
MB008,fr,objects,"['appareil photo reflex numérique', 'objectif', 'socle']",camera len
MB008,fr,objects,"['appareil photo reflex numérique', 'objectif', 'socle']",camera
MB008,fr,colours,<missing>,black
MB008,fr,colours,<missing>,silver
MB008,fr,spatial_constraints,"[('objectif', 'right', 'appareil photo reflex numérique')]","('camera len', 'right', 'camera')"
MB009,fr,objects,"['game controller', 'gaming headset']",gaming controller
MB009,fr,colours,<missing>,white
MB009,fr,spatial_constraints,"[('game controller', 'left', 'gaming headset')]","('gaming controller', 'left', 'gaming headset')"
MB010,fr,objects,"['télécommande', 'écran connecté']",remote control
MB010,fr,objects,"['télécommande', 'écran connecté']",smart display
MB010,fr,colours,<missing>,black
MB010,fr,colours,<missing>,silver
MB010,fr,spatial_constraints,"[('télécommande', 'below', 'écran connecté')]","('remote control', 'below', 'smart display')"
MB011,fr,objects,"['battery', 'usb cable']",power bank
MB011,fr,colours,<missing>,white
MB011,fr,spatial_constraints,"[('usb cable', 'below', 'battery')]","('usb cable', 'below', 'power bank')"
MB012,fr,objects,"['ordinateur portable', 'tasse à café']",coffee mug
MB012,fr,objects,"['ordinateur portable', 'tasse à café']",laptop
MB012,fr,colours,<missing>,silver
MB012,fr,colours,<missing>,white
MB012,fr,spatial_constraints,"[('tasse à café', 'right', 'ordinateur portable')]","('coffee mug', 'right', 'laptop')"
MB013,fr,objects,"['earphone', 'smartphone']",wireless earbud
MB013,fr,colours,<missing>,white
MB013,fr,spatial_constraints,"[('earphone', 'above', 'smartphone')]","('wireless earbud', 'above', 'smartphone')"
MB014,fr,objects,"['desk', 'screen', 'webcam']",monitor
MB014,fr,colours,<missing>,white
MB014,fr,spatial_constraints,"[('webcam', 'above', 'screen')]","('webcam', 'above', 'monitor')"
MB015,fr,objects,"['action camera', 'bike helmet']",cycling helmet
MB015,fr,colours,<missing>,white
MB015,fr,spatial_constraints,"[('action camera', 'left', 'bike helmet')]","('action camera', 'left', 'cycling helmet')"
MB016,fr,objects,"['connected speaker', 'digital alarm clock', 'nightstand']",smart speaker
MB016,fr,colours,<missing>,white
MB016,fr,spatial_constraints,"[('connected speaker', 'left', 'digital alarm clock')]","('smart speaker', 'left', 'digital clock')"
MB017,fr,objects,"['casque de réalité virtuelle', 'manette de mouvement']",motion controller
MB017,fr,objects,"['casque de réalité virtuelle', 'manette de mouvement']",vr headset
MB017,fr,colours,<missing>,white
MB017,fr,colours,<missing>,black
MB017,fr,spatial_constraints,"[('casque de réalité virtuelle', 'above', 'manette de mouvement')]","('vr headset', 'above', 'motion controller')"
MB018,fr,objects,"['desk', 'keyboard', 'screen']",curved monitor
MB018,fr,colours,<missing>,black
MB018,fr,spatial_constraints,"[('keyboard', 'below', 'screen')]","('keyboard', 'below', 'curved monitor')"
MB019,fr,objects,"['drone quadricoptère', 'télécommande']",remote control
MB019,fr,colours,noir,black
MB019,fr,colours,<missing>,gray
MB019,fr,spatial_constraints,"[('drone quadricoptère', 'left', 'télécommande')]","('drone', 'left', 'remote control')"
MB021,fr,objects,"['bureau', 'hub usb', 'ordinateur portable']",laptop
MB021,fr,colours,gri,gray
MB021,fr,colours,<missing>,silver
MB021,fr,spatial_constraints,"[('hub usb', 'left', 'ordinateur portable')]","('usb hub', 'left', 'laptop')"
MB022,fr,spatial_constraints,[],"('gaming headset', 'above', 'headphone stand')"
MB023,fr,objects,"['bracelet connecté', 'smartphone']",fitness tracker
MB023,fr,colours,<missing>,black
MB023,fr,colours,blanc,white
MB023,fr,spatial_constraints,"[('bracelet connecté', 'left', 'smartphone')]","('fitness tracker', 'left', 'smartphone')"
MB027,fr,objects,"['nightstand', 'smartphone', 'wireless charger']",wireless charging pad
MB027,fr,colours,<missing>,white
MB027,fr,spatial_constraints,[],"('smartphone', 'above', 'wireless charging pad')"
MB030,fr,objects,"['gaming mouse', 'mouse pad']",mousepad
MB030,fr,colours,<missing>,red
MB030,fr,spatial_constraints,[],"('gaming mouse', 'above', 'mousepad')"
MB032,fr,objects,"['sachet de café', 'table', 'tasse à expresso']",coffee bag
MB032,fr,objects,"['sachet de café', 'table', 'tasse à expresso']",espresso cup
MB032,fr,colours,<missing>,brown
MB032,fr,colours,<missing>,black
MB032,fr,spatial_constraints,"[('sachet de café', 'above', 'tasse à expresso')]","('coffee bag', 'above', 'espresso cup')"
MB036,fr,objects,"['saucer', 'tea box', 'tea cup']",teacup
MB036,fr,colours,<missing>,white
MB036,fr,spatial_constraints,"[('tea box', 'above', 'tea cup'), ('tea cup', 'above', 'saucer')]","('tea box', 'above', 'teacup')"
MB037,fr,objects,"['canette', 'haltère']",dumbbell
MB037,fr,objects,"['canette', 'haltère']",energy drink can
MB037,fr,colours,<missing>,black
MB037,fr,colours,<missing>,silver
MB037,fr,spatial_constraints,"[('canette', 'left', 'haltère')]","('energy drink can', 'left', 'dumbbell')"
MB039,fr,objects,"['strawberry', 'yogurt pot']",yogurt container
MB039,fr,colours,<missing>,white
MB039,fr,spatial_constraints,"[('yogurt pot', 'left', 'strawberry')]","('yogurt container', 'left', 'strawberry')"
MB040,fr,objects,"['cookie box', 'glass of milk']",cookie tin
MB040,fr,colours,<missing>,red
MB040,fr,spatial_constraints,"[('cookie box', 'right', 'glass of milk')]","('glass of milk', 'left', 'cookie tin')"
MB041,fr,objects,"['canette de soda', 'seau à glace']",soda can
MB041,fr,objects,"['canette de soda', 'seau à glace']",ice bucket
MB041,fr,colours,<missing>,blue
MB041,fr,colours,<missing>,silver
MB041,fr,spatial_constraints,"[('canette de soda', 'left', 'seau à glace')]","('soda can', 'left', 'ice bucket')"
MB042,fr,objects,"['pot de poudre protéinée', 'shaker']",protein powder jar
MB042,fr,colours,<missing>,black
MB042,fr,spatial_constraints,"[('pot de poudre protéinée', 'left', 'shaker')]","('protein powder jar', 'left', 'shaker bottle')"
MB044,fr,colours,kraft,brown
MB046,fr,objects,"['canette', 'citron vert']",sparkling water can
MB046,fr,objects,"['canette', 'citron vert']",lime
MB046,fr,colours,<missing>,blue
MB046,fr,colours,<missing>,green
MB046,fr,spatial_constraints,"[('canette', 'left', 'citron vert')]","('sparkling water can', 'left', 'lime')"
MB047,fr,objects,"['planche', 'pot', 'tranche']",honey jar
MB047,fr,objects,"['planche', 'pot', 'tranche']",toast
MB047,fr,colours,<missing>,amber
MB047,fr,colours,<missing>,brown
MB047,fr,spatial_constraints,"[('pot', 'above', 'tranche')]","('honey jar', 'above', 'toast')"
MB049,fr,objects,"['bamboo stick', 'bottle']",bamboo stalk
MB049,fr,colours,<missing>,green
MB049,fr,spatial_constraints,"[('bottle', 'right', 'bamboo stick')]","('tea bottle', 'right', 'bamboo stalk')"
MB050,fr,objects,['tablet'],chocolate bar
MB050,fr,objects,['tablet'],wrapper
MB050,fr,colours,<missing>,brown
MB050,fr,colours,<missing>,gold
MB050,fr,spatial_constraints,[],"('chocolate bar', 'above', 'wrapper')"
MB054,fr,objects,"['bottle', 'bunch of mint']",mint sprig
MB054,fr,colours,<missing>,green
MB054,fr,spatial_constraints,"[('bottle', 'above', 'bunch of mint')]","('water bottle', 'above', 'mint sprig')"
MB055,fr,objects,"['box', 'whisk']",matcha tin
MB055,fr,colours,<missing>,green
MB055,fr,spatial_constraints,"[('box', 'right', 'whisk')]","('matcha tin', 'right', 'bamboo whisk')"
MB056,fr,objects,"['bol', 'carton']",ceramic bowl
MB056,fr,colours,<missing>,brown
MB056,fr,spatial_constraints,"[('carton', 'right', 'bol')]","('oat milk carton', 'right', 'ceramic bowl')"
MB057,fr,objects,"[""canette d'eau de coco"", 'noix de coco']",coconut water can
MB057,fr,objects,"[""canette d'eau de coco"", 'noix de coco']",coconut
MB057,fr,colours,<missing>,white
MB057,fr,colours,<missing>,brown
MB057,fr,spatial_constraints,"[(""canette d'eau de coco"", 'right', 'noix de coco')]","('coconut water can', 'right', 'coconut')"
MB061,fr,objects,"['basket', 'boîte à chaussure']",sneaker
MB061,fr,objects,"['basket', 'boîte à chaussure']",shoebox
MB061,fr,colours,<missing>,white
MB061,fr,colours,<missing>,red
MB061,fr,spatial_constraints,"[('basket', 'above', 'boîte à chaussure')]","('sneaker', 'above', 'shoebox')"
MB063,fr,colours,beige,tan
MB064,fr,objects,"['box', 'watch']",wristwatch
MB064,fr,colours,<missing>,gold
MB064,fr,colours,gold,black
MB064,fr,spatial_constraints,[],"('wristwatch', 'above', 'watch box')"
MB066,fr,objects,"['running shoe', 'sports sock']",athletic sock
MB066,fr,colours,<missing>,white
MB066,fr,spatial_constraints,"[('running shoe', 'left', 'sports sock')]","('running shoe', 'left', 'athletic sock')"
MB070,fr,spatial_constraints,[],"('sports bra', 'above', 'yoga mat')"
MB074,fr,colours,grey,gray
MB077,fr,objects,"['hoodie', 'jogging pant']",jogger pant
MB077,fr,colours,grey,gray
MB077,fr,colours,<missing>,black
MB077,fr,spatial_constraints,"[('hoodie', 'above', 'jogging pant')]","('hoodie', 'above', 'jogger pant')"
MB078,fr,colours,beige,tan
MB082,fr,objects,"['parapluie', 'trench coat']",umbrella
MB082,fr,colours,<missing>,black
MB082,fr,spatial_constraints,"[('trench coat', 'below', 'parapluie')]","('trench coat', 'below', 'umbrella')"
MB083,fr,objects,"['casque', 'cuissard']",cycling helmet
MB083,fr,objects,"['casque', 'cuissard']",cycling short
MB083,fr,colours,<missing>,black
MB083,fr,colours,<missing>,white
MB083,fr,spatial_constraints,"[('cuissard', 'right', 'casque')]","('cycling short', 'right', 'cycling helmet')"
MB085,fr,colours,grey,gray
MB089,fr,objects,"['basket', 'legging']",sports shoe
MB089,fr,colours,violet,purple
MB089,fr,colours,<missing>,white
MB089,fr,spatial_constraints,"[('legging', 'right', 'basket')]","('gym legging', 'right', 'sports shoe')"
MB090,fr,colours,beige,tan
MB093,fr,spatial_constraints,[],"('roof rack', 'above', 'suv')"
MB096,fr,objects,"['boîte à outil', 'camionnette']",pickup truck
MB096,fr,objects,"['boîte à outil', 'camionnette']",toolbox
MB096,fr,colours,<missing>,orange
MB096,fr,colours,<missing>,black
MB096,fr,spatial_constraints,"[('camionnette', 'left', 'boîte à outil')]","('pickup truck', 'left', 'toolbox')"
MB098,fr,objects,"['compact car', 'parking sign']",city car
