brief_id,language,extracted_objects_json,extracted_colours_json,extracted_spatial_json,extracted_text_json,extraction_error
MB049,en,"[""tea bottle"", ""bamboo stalk""]","{""tea bottle"": ""white"", ""bamboo stalk"": ""green""}","[""tea bottle right of bamboo stalk""]","[""YUMA""]",
MB050,en,"[""chocolate bar"", ""wrapper""]","{""chocolate bar"": ""dark brown"", ""wrapper"": ""gold""}",[],"[""ZEAL""]",
MB051,en,"[""juice pouch"", ""straw""]","{""juice pouch"": ""orange"", ""straw"": ""brown""}","[""juice pouch right of straw""]","[""AMBER""]",
MB052,en,"[""almond butter jar"", ""slice of bread""]","{""almond butter jar"": ""brown"", ""slice of bread"": ""white""}","[""almond butter jar above slice of bread""]","[""BRISK""]",
MB053,en,"[""kombucha bottle"", ""ginger root""]","{""kombucha bottle"": ""brown"", ""ginger root"": ""yellow""}","[""kombucha bottle right of ginger root""]","[""COVE""]",
MB054,en,"[""water bottle"", ""mint sprig""]","{""water bottle"": ""blue"", ""mint sprig"": ""green""}","[""water bottle above mint sprig""]","[""DRIP""]",
MB055,en,"[""matcha tin"", ""bamboo whisk""]","{""matcha tin"": ""green"", ""bamboo whisk"": ""brown""}","[""matcha tin right of bamboo whisk""]","[""ELIXIR""]",
MB056,en,"[""oat milk carton"", ""ceramic bowl""]","{""oat milk carton"": ""white"", ""ceramic bowl"": ""brown""}","[""oat milk carton right of ceramic bowl""]","[""FERN""]",
MB057,en,"[""coconut water can"", ""coconut""]","{""coconut water can"": ""white"", ""coconut"": ""brown""}","[""coconut water can right of coconut""]","[""GUSTO""]",
MB058,en,"[""shot bottle"", ""turmeric root""]","{""shot bottle"": ""yellow"", ""turmeric root"": ""orange""}","[""shot bottle above turmeric root""]","[""HERBA""]",
MB059,en,"[""juice bottle"", ""grapes""]","{""juice bottle"": ""purple"", ""grapes"": ""green""}","[""juice bottle right of grapes""]","[""INFUSE""]",
MB060,en,"[""juice bottle"", ""carrot""]","{""juice bottle"": ""green"", ""carrot"": ""orange""}","[""juice bottle below carrot""]","[""JUVO""]",
MB061,en,"[""sneaker"", ""shoebox""]","{""sneaker"": ""white"", ""shoebox"": ""red""}","[""sneaker above shoebox""]","[""MODE""]",
MB062,en,"[""jacket"", ""hanger""]","{""jacket"": ""black"", ""hanger"": ""brown""}","[""jacket hanging on hanger""]","[""LUXE""]",
MB063,en,"[""handbag"", ""sunglasses""]","{""handbag"": ""tan"", ""sunglasses"": ""black""}","[""handbag left of sunglasses""]","[""FORM logo""]",
MB064,en,"[""wristwatch"", ""watch box""]","{""wristwatch"": ""gold"", ""watch box"": ""black leather""}","[""wristwatch above watch box""]","[""GRACE logo""]",
MB065,en,"[""sunglasses"", ""glasses case""]","{""sunglasses"": ""brown tortoiseshell"", ""glasses case"": ""black leather""}","[""sunglasses above glasses case""]","[""HAVEN""]",
MB066,en,"[""running shoes"", ""athletic socks""]","{""running shoes"": ""blue"", ""athletic socks"": ""white""}","[""running shoes left of athletic socks""]","[""INKE logo""]",
MB067,en,"[""denim jacket"", ""canvas tote bag""]","{""denim jacket"": ""blue"", ""canvas tote bag"": ""white""}","[""denim jacket above canvas tote bag""]","[""JOIE""]",
MB068,en,"[""tote bag"", ""scarf""]","{""tote bag"": ""brown"", ""scarf"": ""red""}","[""tote bag left of scarf""]","[""KEEN embossed on bag""]",
MB069,en,"[""canvas sneaker"", ""skateboard""]","{""canvas sneaker"": ""white"", ""skateboard"": ""red""}","[""canvas sneaker above skateboard""]","[""LACE logo""]",
MB070,en,"[""sports bra"", ""yoga mat""]","{""sports bra"": ""pink"", ""yoga mat"": ""purple""}","[""sports bra above yoga mat""]","[""MAUVE""]",
MB071,en,"[""baseball cap"", ""t-shirt""]","{""baseball cap"": ""black"", ""t-shirt"": ""white""}","[""baseball cap above t-shirt""]","[""NOIR""]",
MB072,en,"[""chelsea boot"", ""leather belt""]","{""chelsea boot"": ""black"", ""leather belt"": ""brown""}","[""chelsea boot left of leather belt""]","[""ONYX""]",
MB073,en,"[""raincoat"", ""umbrella""]","{""raincoat"": ""yellow"", ""umbrella"": ""black""}","[""raincoat above umbrella""]","[""POISE""]",
MB074,en,"[""sweater"", ""scarf""]","{""sweater"": ""gray"", ""scarf"": ""white""}","[""sweater above scarf""]","[""RIVE""]",
MB075,en,"[""swimsuit"", ""sunscreen bottle""]","{""swimsuit"": ""orange"", ""sunscreen bottle"": ""white""}","[""swimsuit left of sunscreen bottle""]","[""SILK""]",
MB076,en,"[""backpack"", ""water bottle""]","{""backpack"": ""navy blue"", ""water bottle"": ""silver""}","[""backpack left of water bottle""]","[""TONE on backpack front pocket""]",
MB077,en,"[""hoodie"", ""jogger pants""]","{""hoodie"": ""gray"", ""jogger pants"": ""black""}","[""hoodie above jogger pants""]","[""ULAN""]",
MB078,en,"[""oxford dress shoe"", ""briefcase""]","{""oxford dress shoe"": ""brown"", ""briefcase"": ""tan""}","[""oxford dress shoe left of briefcase""]","[""VIBE on shoe sole""]",
MB079,en,"[""winter jacket"", ""leather gloves""]","{""winter jacket"": ""red"", ""leather gloves"": ""black""}","[""winter jacket below leather gloves""]","[""WOVEN""]",
MB080,en,"[""athletic shorts"", ""running sneakers""]","{""athletic shorts"": ""black"", ""running sneakers"": ""white""}","[""athletic shorts below running sneakers""]","[""XARA logo""]",
MB081,en,"[""tote bag"", ""paperback book""]","{""tote bag"": ""beige"", ""paperback book"": ""white""}","[""tote bag left of paperback book""]","[""YARN""]",
MB082,en,"[""trench coat"", ""umbrella""]","{""trench coat"": ""beige"", ""umbrella"": ""black""}","[""trench coat below umbrella""]","[""ZOLA label on coat""]",
MB083,en,"[""cycling shorts"", ""cycling helmet""]","{""cycling shorts"": ""black"", ""cycling helmet"": ""white""}","[""cycling shorts right of cycling helmet""]","[""AEON logo""]",
MB084,en,"[""wallet"", ""coin""]","{""wallet"": ""black"", ""coin"": ""silver""}","[""wallet below coin""]","[""BRIM""]",
MB085,en,"[""beanie hat"", ""jacket""]","{""beanie hat"": ""gray"", ""jacket"": ""navy""}","[""beanie hat below jacket""]","[""CORD""]",
MB086,en,"[""platform heel"", ""clutch bag""]","{""platform heel"": ""black"", ""clutch bag"": ""red""}","[""platform heel right of clutch bag""]","[""DUSK logo on heel""]",
MB087,en,"[""cargo pants"", ""leather boots""]","{""cargo pants"": ""green"", ""leather boots"": ""brown""}","[""cargo pants below leather boots""]","[""ZYLO""]",
MB088,en,"[""tie"", ""dress shirt""]","{""tie"": ""navy blue"", ""dress shirt"": ""white""}","[""tie below dress shirt""]","[""FINN woven on tie label""]",
MB089,en,"[""gym leggings"", ""sports shoes""]","{""gym leggings"": ""purple"", ""sports shoes"": ""white""}","[""gym leggings right of sports shoes""]","[""GILD""]",
MB090,en,"[""sandal"", ""beach hat""]","{""sandal"": ""tan"", ""beach hat"": ""white""}","[""sandal right of beach hat""]","[""HAZE logo""]",
MB091,en,"[""sports car"", ""racing helmet""]","{""sports car"": ""red"", ""racing helmet"": ""white""}","[""sports car left of racing helmet""]","[""TORQ logo""]",
MB092,en,"[""electric car"", ""charging cable""]","{""electric car"": ""white"", ""charging cable"": ""green""}","[""charging cable left of electric car""]","[""RUSH logo""]",
MB093,en,"[""suv"", ""roof rack""]","{""suv"": ""black"", ""roof rack"": ""silver""}","[""roof rack above suv""]","[""FORGE""]",
MB094,en,"[""motorcycle"", ""full-face helmet""]","{""motorcycle"": ""black"", ""full-face helmet"": ""white""}","[""motorcycle left of full-face helmet""]","[""HELIX logo""]",
MB095,en,"[""sports car"", ""tire""]","{""sports car"": ""blue"", ""tire"": ""black""}","[""tire below of sports car""]","[""JOLT""]",
MB096,en,"[""pickup truck"", ""toolbox""]","{""pickup truck"": ""orange"", ""toolbox"": ""black""}","[""pickup truck left of toolbox""]","[""KINETIC""]",
MB097,en,"[""electric scooter"", ""safety helmet""]","{""electric scooter"": ""white"", ""safety helmet"": ""black""}","[""electric scooter left of safety helmet""]","[""LAUNCH""]",
MB098,en,"[""compact city car"", ""parking sign""]","{""compact city car"": ""silver"", ""parking sign"": ""white""}","[""compact city car left of parking sign""]","[""MOTION logo""]",
MB099,en,"[""convertible car"", ""car key""]","{""convertible car"": ""yellow"", ""car key"": ""silver""}","[""convertible car above car key""]","[""PULSE""]",
MB100,en,"[""hybrid car"", ""solar panel""]","{""hybrid car"": ""green"", ""solar panel"": ""navy""}","[""hybrid car left of solar panel""]","[""QUEST""]",
MB101,en,"[""racing car"", ""checkered flag""]","{""racing car"": ""red"", ""checkered flag"": ""black and white""}","[""racing car left of checkered flag""]","[""RACER logo""]",
MB102,en,"[""motorcycle"", ""racing gloves""]","{""motorcycle"": ""silver"", ""racing gloves"": ""black""}","[""motorcycle above racing gloves""]","[""SPEED""]",
MB103,en,"[""family sedan"", ""child seat""]","{""family sedan"": ""white"", ""child seat"": ""black""}","[""child seat right of family sedan""]","[""THRUST""]",
MB104,en,"[""off-road vehicle"", ""spare tire""]","{""off-road vehicle"": ""brown"", ""spare tire"": ""black""}","[""off-road vehicle left of spare tire""]","[""VEER""]",
MB105,en,"[""sedan"", ""key fob""]","{""sedan"": ""black"", ""key fob"": ""gold""}","[""key fob below of sedan""]","[""WARP""]",
MB106,en,"[""electric bicycle"", ""charging cable""]","{""electric bicycle"": ""white"", ""charging cable"": ""black""}","[""electric bicycle left of charging cable""]","[""XCEL""]",
MB107,en,"[""racing car"", ""trophy""]","{""racing car"": ""red"", ""trophy"": ""gold""}","[""racing car left of trophy""]","[""YOKE""]",
MB108,en,"[""delivery van"", ""cardboard box""]","{""delivery van"": ""white"", ""cardboard box"": ""brown""}","[""delivery van left of cardboard box""]",[],
MB109,en,"[""campervan"", ""camping tent""]","{""campervan"": ""beige"", ""camping tent"": ""green""}","[""campervan left of camping tent""]","[""ALPHA""]",
MB110,en,"[""car"", ""fuel pump""]","{""car"": ""blue"", ""fuel pump"": ""silver""}","[""car left of fuel pump""]","[""BRAVO""]",
MB111,en,"[""sports hatchback"", ""roof rack""]","{""sports hatchback"": ""black"", ""roof rack"": ""silver""}","[""roof rack above of sports hatchback""]","[""TORVEX""]",
MB112,en,"[""police car"", ""siren light""]","{""police car"": ""white"", ""siren light"": ""red""}","[""siren light above of police car""]","[""DELTA""]",
MB113,en,"[""school bus"", ""stop sign""]","{""school bus"": ""yellow"", ""stop sign"": ""red""}","[""school bus right of stop sign""]","[""EAGLE""]",
MB114,en,"[""fire truck"", ""fire hose""]","{""fire truck"": ""red"", ""fire hose"": ""yellow""}","[""fire truck right of fire hose""]","[""FOXTROT""]",
MB115,en,"[""limousine"", ""carpet""]","{""limousine"": ""black"", ""carpet"": ""red""}","[""limousine above carpet""]","[""GRAND""]",
MB116,en,"[""all-terrain vehicle"", ""snow chains""]","{""all-terrain vehicle"": ""gray"", ""snow chains"": ""silver""}","[""all-terrain vehicle right of snow chains""]","[""HOUND""]",
MB117,en,"[""motorcycle"", ""saddlebags""]","{""motorcycle"": ""black"", ""saddlebags"": ""brown""}","[""motorcycle above saddlebags""]","[""IRON""]",
MB118,en,"[""suv"", ""radio antenna""]","{""suv"": ""green"", ""radio antenna"": ""black""}","[""radio antenna right of suv""]","[""VANTIS""]",
MB119,en,"[""micro car"", ""city map""]","{""micro car"": ""red"", ""city map"": ""white""}","[""micro car right of city map""]","[""KILO""]",
MB120,en,"[""superbike"", ""racing track cone""]","{""superbike"": ""orange"", ""racing track cone"": ""black""}","[""superbike right of racing track cone""]","[""LANCE""]",
MB121,en,"[""yoga mat"", ""water bottle""]","{""yoga mat"": ""purple"", ""water bottle"": ""silver""}","[""yoga mat left of water bottle""]","[""ZENITH""]",
MB122,en,"[""supplement bottle"", ""capsule""]","{""supplement bottle"": ""white"", ""capsule"": ""orange""}","[""capsule right of supplement bottle""]","[""REVIVE""]",
MB123,en,"[""gym bag"", ""towel""]","{""gym bag"": ""black"", ""towel"": ""white""}","[""gym bag left of towel""]","[""BOOST logo""]",
MB124,en,"[""face cream jar"", ""flower"", ""marble surface""]","{""face cream jar"": ""white"", ""flower"": ""pink"", ""marble surface"": ""none""}","[""face cream jar above flower""]","[""AURA""]",
MB125,en,"[""protein shaker bottle"", ""dumbbell""]","{""protein shaker bottle"": ""black"", ""dumbbell"": ""silver""}","[""protein shaker bottle left of dumbbell""]","[""PEAK""]",
MB126,en,"[""meditation cushion"", ""candle""]","{""meditation cushion"": ""purple"", ""candle"": ""white""}","[""meditation cushion left of candle""]","[""CALM""]",
MB127,en,"[""foam roller"", ""yoga mat""]","{""foam roller"": ""blue"", ""yoga mat"": ""purple""}","[""foam roller above yoga mat""]","[""ALIGN""]",
MB128,en,"[""resistance band"", ""water bottle""]","{""resistance band"": ""red"", ""water bottle"": ""black""}","[""resistance band left of water bottle""]","[""TENZO""]",
MB129,en,"[""essential oil bottle"", ""ceramic diffuser""]","{""essential oil bottle"": ""brown"", ""ceramic diffuser"": ""white""}","[""essential oil bottle left of ceramic diffuser""]","[""TERRA""]",
MB130,en,"[""sleep mask"", ""pillow"", ""bed surface""]","{""sleep mask"": ""black"", ""pillow"": ""white"", ""bed surface"": ""gray""}","[""sleep mask above pillow""]","[""REST on mask""]",
MB131,en,"[""journal"", ""pen""]","{""journal"": ""white"", ""pen"": ""black""}","[""journal left of pen""]","[""RYNTH""]",
MB132,en,"[""fitness watch"", ""smartphone""]","{""fitness watch"": ""black"", ""smartphone"": ""white""}","[""fitness watch left of smartphone""]","[""TRACE""]",
MB133,en,"[""massage gun"", ""charging base""]","{""massage gun"": ""black"", ""charging base"": ""white""}","[""massage gun above charging base""]","[""EASE""]",
MB134,en,"[""collagen powder jar"", ""glass""]","{""collagen powder jar"": ""white"", ""glass"": ""pink""}","[""collagen powder jar left of glass""]","[""RENEW""]",
MB135,en,"[""thermos"", ""trail mix bag""]","{""thermos"": ""green"", ""trail mix bag"": ""brown""}","[""thermos left of trail mix bag""]","[""VOXA""]",
MB136,en,"[""smoothie bowl"", ""spoon""]","{""smoothie bowl"": ""yellow"", ""spoon"": ""silver""}","[""smoothie bowl above spoon""]","[""VIVID""]",
MB137,en,"[""sunscreen bottle"", ""beach towel""]","{""sunscreen bottle"": ""white"", ""beach towel"": ""orange""}","[""sunscreen bottle left of beach towel""]","[""SHIELD""]",
MB138,en,"[""vitamin bottle"", ""blister pack""]","{""vitamin bottle"": ""orange"", ""blister pack"": ""silver""}","[""vitamin bottle right of blister pack""]","[""VITAL""]",
MB139,en,"[""balance board"", ""athletic sneaker""]","{""balance board"": ""teal"", ""athletic sneaker"": ""white""}","[""balance board above athletic sneaker""]","[""CORE""]",
MB140,en,"[""ice roller"", ""face serum bottle""]","{""ice roller"": ""white"", ""face serum bottle"": ""gold""}","[""ice roller left of face serum bottle""]","[""CHILL""]",
MB141,en,"[""towel"", ""water bottle"", ""bench""]","{""towel"": ""white"", ""water bottle"": ""black"", ""bench"": ""wooden""}","[""towel above water bottle"", ""water bottle on bench""]","[""STEAM""]",
MB142,en,"[""acupressure mat"", ""pillow""]","{""acupressure mat"": ""purple"", ""pillow"": ""white""}","[""acupressure mat right of pillow""]","[""PRESS""]",
MB143,en,"[""nutrition bar wrapper"", ""water bottle""]","{""nutrition bar wrapper"": ""green"", ""water bottle"": ""silver""}","[""nutrition bar wrapper above water bottle""]","[""FUEL""]",
MB144,en,"[""protein powder bag"", ""shaker bottle""]","{""protein powder bag"": ""black"", ""shaker bottle"": ""red""}","[""protein powder bag right of shaker bottle""]","[""MASS on bag front""]",
MB145,en,"[""eye cream tube"", ""handheld mirror""]","{""eye cream tube"": ""white"", ""handheld mirror"": ""gold""}","[""eye cream tube right of handheld mirror""]","[""LUMI""]",
MB146,en,"[""stretching strap"", ""yoga mat""]","{""stretching strap"": ""blue"", ""yoga mat"": ""purple""}","[""stretching strap below yoga mat""]","[""EXTEND""]",
MB147,en,"[""sleep supplement bottle"", ""moon lamp""]","{""sleep supplement bottle"": ""white"", ""moon lamp"": ""silver""}","[""sleep supplement bottle right of moon lamp""]","[""DRIFT""]",
MB148,en,"[""hydration vest"", ""trail running shoes""]","{""hydration vest"": ""blue"", ""trail running shoes"": ""orange""}","[""hydration vest below trail running shoes""]","[""PACE""]",
MB149,en,"[""incense holder"", ""meditation beads""]","{""incense holder"": ""black"", ""meditation beads"": ""brown""}","[""incense holder right of meditation beads""]","[""SERENE""]",
MB150,en,"[""cold plunge tub"", ""towel""]","{""cold plunge tub"": ""white"", ""towel"": ""blue""}","[""cold plunge tub right of towel""]","[""POLAR""]",
MB001,de,"[""smartwatch"", ""wireless charger""]","{""smartwatch"": ""silver"", ""wireless charger"": ""black""}","[""smartwatch left of wireless charger""]","[""ZYRA""]",
MB002,de,"[""laptop"", ""wireless mouse"", ""desk""]","{""laptop"": ""black"", ""wireless mouse"": ""white"", ""desk"": ""grey""}","[""wireless mouse right of laptop""]","[""KESTRA-Logo""]",
MB003,de,"[""wireless earphones"", ""charging case""]","{""wireless earphones"": ""white"", ""charging case"": ""black""}","[""wireless earphones above charging case""]","[""APEX""]",
MB004,de,"[""smartphone"", ""metal stand""]","{""smartphone"": ""black"", ""metal stand"": ""silver""}","[""smartphone above metal stand""]","[""VOLT""]",
MB005,de,"[""tablet"", ""stylus""]","{""tablet"": ""white"", ""stylus"": ""gold""}","[""stylus right of tablet""]","[""PRISM""]",
MB006,de,"[""mechanical keyboard"", ""wireless mouse"", ""desk mat""]","{""mechanical keyboard"": ""black"", ""wireless mouse"": ""red"", ""desk mat"": ""dark""}","[""wireless mouse right of mechanical keyboard""]","[""SYNTH-Logo""]",
MB007,de,"[""bluetooth speaker"", ""smartphone"", ""wooden table""]","{""bluetooth speaker"": ""blue"", ""smartphone"": ""black"", ""wooden table"": ""brown""}","[""smartphone right of bluetooth speaker""]","[""NEXUS""]",
MB008,de,"[""dslr camera"", ""camera lens"", ""pedestal""]","{""dslr camera"": ""black"", ""camera lens"": ""silver"", ""pedestal"": ""white""}","[""camera lens right of pedestal""]","[""KOVAL""]",
MB009,de,"[""gaming controller"", ""gaming headset""]","{""gaming controller"": ""white"", ""gaming headset"": ""black""}","[""gaming controller left of gaming headset""]","[""LUNEX-Logo""]",
MB010,de,"[""smart display"", ""remote control""]","{""smart display"": ""black"", ""remote control"": ""silver""}","[""remote control below of smart display""]","[""KORE""]",
MB011,de,"[""powerbank"", ""usb cable""]","{""powerbank"": ""white"", ""usb cable"": ""red""}","[""usb cable below of powerbank""]","[""LUMIX""]",
MB012,de,"[""laptop"", ""coffee cup""]","{""laptop"": ""silver"", ""coffee cup"": ""white""}","[""coffee cup right of laptop""]","[""MIRAX-Logo""]",
MB013,de,"[""earphones"", ""smartphone""]","{""earphones"": ""white"", ""smartphone"": ""black""}","[""earphones above of smartphone""]","[""NEURO-Logo""]",
MB014,de,"[""webcam"", ""monitor"", ""desk""]","{""webcam"": ""black"", ""monitor"": ""white"", ""desk"": ""not specified""}","[""webcam above monitor""]","[""OPUS-Logo""]",
MB015,de,"[""action camera"", ""bicycle helmet""]","{""action camera"": ""orange"", ""bicycle helmet"": ""white""}","[""action camera left of bicycle helmet""]","[""PHASE""]",
MB016,de,"[""smart speaker"", ""digital clock"", ""nightstand""]","{""smart speaker"": ""white"", ""digital clock"": ""black"", ""nightstand"": ""white""}","[""smart speaker left of digital clock""]","[""QUBIT-Logo""]",
MB017,de,"[""vr headset"", ""motion controller""]","{""vr headset"": ""white"", ""motion controller"": ""black""}","[""vr headset above motion controller""]","[""RADIUS-Logo""]",
