"Timestamp","I am at least 18 years old and agree to participate.","What is your native language (the language you learned first as a child)?","Ich habe den obigen Text gelesen und stimme der Teilnahme zu.","MB002 [SF]","MB002 [BT]","MB025 [SF]","MB025 [BT]","MB034 [SF]","MB034 [BT]","MB059 [SF]","MB059 [BT]","MB075 [SF]","MB075 [BT]","MB088 [SF]","MB088 [BT]","MB107 [SF]","MB107 [BT]","MB110 [SF]","MB110 [BT]","MB129 [SF]","MB129 [BT]","MB141 [SF]","MB141 [BT]","Was there anything you noticed or anything else you would like to tell us? 
(Optional, feel free to skip)","J'ai lu le texte ci-dessus et j'accepte de participer.","MB002 [Fl]","MB002 [FS]","MB015 [Fl]","MB015 [FS]","MB038 [Fl]","MB038 [FS]","MB046 [Fl]","MB046 [FS]","MB066 [Fl]","MB066 [FS]","MB080 [Fl]","MB080 [FS]","MB102 [Fl]","MB102 [FS]","MB117 [Fl]","MB117 [FS]","MB132 [Fl]","MB132 [FS]","MB143 [Fl]","MB143 [FS]","Was there anything you noticed or anything else you would like to tell us? 
(Optional, feel free to skip)","He leído el texto anterior y acepto participar.","MB001 [Fl]","MB001 [FS]","MB018 [Fl]","MB018 [FS]","MB047 [Fl]","MB047 [FS]","MB050 [Fl]","MB050 [FS]","MB070 [Fl]","MB070 [FS]","MB071 [Fl]","MB071 [FS]","MB104 [Fl]","MB104 [FS]","MB115 [Fl]","MB115 [FS]","MB129 [Fl]","MB129 [FS]","MB150 [Fl]","MB150 [FS]","Was there anything you noticed or anything else you would like to tell us? 
(Optional, feel free to skip)","لقد قرأت النص أعلاه وأوافق على المشاركة.","MB006 [الطلاقة]","MB006 [الدقة]","MB021 [الطلاقة]","MB021 [الدقة]","MB043 [الطلاقة]","MB043 [الدقة]","MB058 [الطلاقة]","MB058 [الدقة]","MB076 [الطلاقة]","MB076 [الدقة]","MB080 [الطلاقة]","MB080 [الدقة]","MB109 [الطلاقة]","MB109 [الدقة]","MB114 [الطلاقة]","MB114 [الدقة]","MB126 [الطلاقة]","MB126 [الدقة]","MB136 [الطلاقة]","MB136 [الدقة]","Was there anything you noticed or anything else you would like to tell us? 
(Optional, feel free to skip)"
"2026/09/07 10:15:55 AM GMT+3","Yes, I agree","Spanish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí, acepto","4","5","3","5","4","5","4","5","4","5","5","5","5","5","4","5","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","",""
"2026/09/07 12:08:18 PM GMT+3","Yes, I agree","French","","","","","","","","","","","","","","","","","","","","","","","Oui, j'accepte","3","4","4","4","5","5","4","4","3","4","4","3","4","4","2","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/09/07 2:08:12 PM GMT+3","Yes, I agree","German","Ja, ich stimme zu","3","5","5","5","5","4","5","2","5","5","5","4","5","5","5","5","4","5","5","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/09/07 3:08:55 PM GMT+3","Yes, I agree","German","Ja, ich stimme zu","3","5","2","5","5","4","2","2","4","3","3","3","3","4","5","4","5","5","3","3","Relativsätze eignen sich für Beschreibungen deutlich besser als Partizipien und hatten jedes Mal einen besseren Sprachfluss","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/09/07 4:04:21 PM GMT+3","Yes, I agree","French","","","","","","","","","","","","","","","","","","","","","","","Oui, j'accepte","4","5","4","5","4","4","5","3","4","3","3","3","3","4","3","4","5","4","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/09/07 4:39:48 PM GMT+3","Yes, I agree","French","","","","","","","","","","","","","","","","","","","","","","","Oui, j'accepte","4","5","3","5","4","5","3","5","3","5","3","5","4","5","3","5","3","5","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/09/07 8:36:37 PM GMT+3","Yes, I agree","German","Ja, ich stimme zu","3","4","4","5","4","5","4","2","4","5","5","4","5","5","5","4","5","4","5","5","The German version contains a lot of „;“, which is restricting the reading flow ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/09/08 12:28:36 AM GMT+3","Yes, I agree","Arabic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","نعم، أوافق","4","3","2","3","3","2","4","4","5","5","5","4","4","3","3","3","5","5","3","2","لم تكن دقة ترجمة بعض المنتجات صحيحة."
"2026/09/08 1:35:46 AM GMT+3","Yes, I agree","French","","","","","","","","","","","","","","","","","","","","","","","Oui, j'accepte","5","4","4","4","5","4","3","4","4","2","4","4","3","4","5","5","5","5","5","5","All the best ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/09/08 11:44:17 AM GMT+3","Yes, I agree","Arabic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","نعم، أوافق","5","4","2","2","4","5","3","4","4","4","4","3","2","3","2","2","3","4","4","5",""
