rating_id,brief_id,model,language,output_path
R1-029,MB073,flux,fr,data\generated_images\phase2b\flux\fr\MB073_seed42.png
R1-030,MB124,sd15,es,data\generated_images\phase2b\sd15\es\MB124_seed42.png
R1-031,MB001,flux,de,data\generated_images\phase2b\flux\de\MB001_seed42.png
R1-032,MB101,flux,fr,data\generated_images\phase2b\flux\fr\MB101_seed42.png
R1-033,MB120,flux,de,data\generated_images\phase2b\flux\de\MB120_seed42.png
R1-034,MB084,sd15,es,data\generated_images\phase2b\sd15\es\MB084_seed42.png
R1-035,MB068,sd15,fr,data\generated_images\phase2b\sd15\fr\MB068_seed42.png
R1-036,MB091,flux,es,data\generated_images\phase2b\flux\es\MB091_seed42.png
R1-037,MB083,flux,de,data\generated_images\phase2b\flux\de\MB083_seed42.png
R1-038,MB094,sd15,fr,data\generated_images\phase2b\sd15\fr\MB094_seed42.png
R1-039,MB146,flux,es,data\generated_images\phase2b\flux\es\MB146_seed42.png
R1-040,MB118,sd15,de,data\generated_images\phase2b\sd15\de\MB118_seed42.png
R1-041,MB045,flux,de,data\generated_images\phase2b\flux\de\MB045_seed42.png
R1-042,MB032,flux,de,data\generated_images\phase2b\flux\de\MB032_seed42.png
R1-043,MB015,flux,fr,data\generated_images\phase2b\flux\fr\MB015_seed42.png
R1-044,MB012,flux,de,data\generated_images\phase2b\flux\de\MB012_seed42.png
R1-045,MB098,sd15,es,data\generated_images\phase2b\sd15\es\MB098_seed42.png
R1-046,MB029,sd15,es,data\generated_images\phase2b\sd15\es\MB029_seed42.png
R1-047,MB066,sd15,de,data\generated_images\phase2b\sd15\de\MB066_seed42.png
R1-048,MB069,sd15,es,data\generated_images\phase2b\sd15\es\MB069_seed42.png
R1-049,MB135,flux,fr,data\generated_images\phase2b\flux\fr\MB135_seed42.png
R1-050,MB044,flux,de,data\generated_images\phase2b\flux\de\MB044_seed42.png
R1-051,MB028,sd15,fr,data\generated_images\phase2b\sd15\fr\MB028_seed42.png
R1-052,MB127,flux,de,data\generated_images\phase2b\flux\de\MB127_seed42.png
R1-053,MB080,sd15,de,data\generated_images\phase2b\sd15\de\MB080_seed42.png
R1-054,MB039,flux,fr,data\generated_images\phase2b\flux\fr\MB039_seed42.png
R1-055,MB052,flux,de,data\generated_images\phase2b\flux\de\MB052_seed42.png
R1-056,MB035,flux,es,data\generated_images\phase2b\flux\es\MB035_seed42.png
R1-057,MB082,sd15,de,data\generated_images\phase2b\sd15\de\MB082_seed42.png
R1-058,MB137,sd15,fr,data\generated_images\phase2b\sd15\fr\MB137_seed42.png
R1-059,MB043,flux,fr,data\generated_images\phase2b\flux\fr\MB043_seed42.png
R1-060,MB062,flux,fr,data\generated_images\phase2b\flux\fr\MB062_seed42.png
R1-061,MB012,sd15,es,data\generated_images\phase2b\sd15\es\MB012_seed42.png
R1-062,MB070,flux,de,data\generated_images\phase2b\flux\de\MB070_seed42.png
R1-063,MB069,sd15,de,data\generated_images\phase2b\sd15\de\MB069_seed42.png
R1-064,MB070,sd15,es,data\generated_images\phase2b\sd15\es\MB070_seed42.png
R1-065,MB050,flux,es,data\generated_images\phase2b\flux\es\MB050_seed42.png
R1-066,MB067,sd15,de,data\generated_images\phase2b\sd15\de\MB067_seed42.png
R1-067,MB113,sd15,de,data\generated_images\phase2b\sd15\de\MB113_seed42.png
R1-068,MB045,sd15,es,data\generated_images\phase2b\sd15\es\MB045_seed42.png
R1-069,MB110,sd15,de,data\generated_images\phase2b\sd15\de\MB110_seed42.png
R1-070,MB126,sd15,de,data\generated_images\phase2b\sd15\de\MB126_seed42.png
R1-071,MB111,flux,de,data\generated_images\phase2b\flux\de\MB111_seed42.png
R1-072,MB019,flux,es,data\generated_images\phase2b\flux\es\MB019_seed42.png
R1-073,MB079,sd15,de,data\generated_images\phase2b\sd15\de\MB079_seed42.png
R1-074,MB100,flux,fr,data\generated_images\phase2b\flux\fr\MB100_seed42.png
R1-075,MB044,flux,es,data\generated_images\phase2b\flux\es\MB044_seed42.png
R1-076,MB135,sd15,es,data\generated_images\phase2b\sd15\es\MB135_seed42.png
R1-077,MB065,sd15,fr,data\generated_images\phase2b\sd15\fr\MB065_seed42.png
R1-078,MB024,sd15,fr,data\generated_images\phase2b\sd15\fr\MB024_seed42.png
R1-079,MB011,sd15,es,data\generated_images\phase2b\sd15\es\MB011_seed42.png
R1-080,MB079,sd15,fr,data\generated_images\phase2b\sd15\fr\MB079_seed42.png
R1-081,MB122,sd15,es,data\generated_images\phase2b\sd15\es\MB122_seed42.png
R1-082,MB014,flux,fr,data\generated_images\phase2b\flux\fr\MB014_seed42.png
R1-083,MB140,flux,es,data\generated_images\phase2b\flux\es\MB140_seed42.png
R1-084,MB035,flux,fr,data\generated_images\phase2b\flux\fr\MB035_seed42.png
R1-085,MB040,sd15,es,data\generated_images\phase2b\sd15\es\MB040_seed42.png
R1-086,MB092,sd15,fr,data\generated_images\phase2b\sd15\fr\MB092_seed42.png
R1-087,MB111,sd15,fr,data\generated_images\phase2b\sd15\fr\MB111_seed42.png
R1-088,MB131,sd15,fr,data\generated_images\phase2b\sd15\fr\MB131_seed42.png
R1-089,MB001,flux,es,data\generated_images\phase2b\flux\es\MB001_seed42.png
R1-090,MB149,sd15,fr,data\generated_images\phase2b\sd15\fr\MB149_seed42.png
R1-091,MB136,flux,fr,data\generated_images\phase2b\flux\fr\MB136_seed42.png
R1-092,MB085,flux,de,data\generated_images\phase2b\flux\de\MB085_seed42.png
R1-093,MB016,flux,es,data\generated_images\phase2b\flux\es\MB016_seed42.png
R1-094,MB006,sd15,fr,data\generated_images\phase2b\sd15\fr\MB006_seed42.png
R1-095,MB122,flux,fr,data\generated_images\phase2b\flux\fr\MB122_seed42.png
R1-096,MB047,flux,es,data\generated_images\phase2b\flux\es\MB047_seed42.png
R1-097,MB068,flux,de,data\generated_images\phase2b\flux\de\MB068_seed42.png
R1-098,MB075,flux,de,data\generated_images\phase2b\flux\de\MB075_seed42.png
R1-099,MB099,flux,es,data\generated_images\phase2b\flux\es\MB099_seed42.png
R1-100,MB070,sd15,de,data\generated_images\phase2b\sd15\de\MB070_seed42.png
R1-101,MB044,sd15,fr,data\generated_images\phase2b\sd15\fr\MB044_seed42.png
R1-102,MB026,flux,de,data\generated_images\phase2b\flux\de\MB026_seed42.png
R1-103,MB048,sd15,de,data\generated_images\phase2b\sd15\de\MB048_seed42.png
R1-104,MB122,flux,de,data\generated_images\phase2b\flux\de\MB122_seed42.png
R1-105,MB054,flux,es,data\generated_images\phase2b\flux\es\MB054_seed42.png
R1-106,MB033,sd15,es,data\generated_images\phase2b\sd15\es\MB033_seed42.png
R1-107,MB022,sd15,es,data\generated_images\phase2b\sd15\es\MB022_seed42.png
R1-108,MB008,flux,es,data\generated_images\phase2b\flux\es\MB008_seed42.png
R1-109,MB018,flux,fr,data\generated_images\phase2b\flux\fr\MB018_seed42.png
R1-110,MB061,sd15,es,data\generated_images\phase2b\sd15\es\MB061_seed42.png
R1-111,MB092,sd15,es,data\generated_images\phase2b\sd15\es\MB092_seed42.png
R1-112,MB040,flux,es,data\generated_images\phase2b\flux\es\MB040_seed42.png
R1-113,MB113,flux,de,data\generated_images\phase2b\flux\de\MB113_seed42.png
R1-114,MB116,flux,fr,data\generated_images\phase2b\flux\fr\MB116_seed42.png
R1-115,MB052,flux,fr,data\generated_images\phase2b\flux\fr\MB052_seed42.png
R1-116,MB014,flux,es,data\generated_images\phase2b\flux\es\MB014_seed42.png
R1-117,MB006,sd15,de,data\generated_images\phase2b\sd15\de\MB006_seed42.png
R1-118,MB024,sd15,es,data\generated_images\phase2b\sd15\es\MB024_seed42.png
R1-119,MB052,sd15,fr,data\generated_images\phase2b\sd15\fr\MB052_seed42.png
R1-120,MB032,flux,es,data\generated_images\phase2b\flux\es\MB032_seed42.png
