rating_id,pass,overall,objects,spatial,colour,typography,brief_id,model,language,output_path,node1_pass_configC,node1_score_configC,node1_short_circuit_configC,node2_pass_configC,node2_score_configC,node2_skipped_configC,node3_pass_configC,node3_score_configC,node3_skipped_configC,node4_pass_configC,node4_score_configC,node4_skipped_configC,node4_skipped_reason_configC,node4_clcg_interpretable_configC,node5_pass_configC,node5_score_configC,compliance_score_configC,failure_diagnosis_configC,compliant,output_path_configC,node1_pass_configB,node1_score_configB,node1_short_circuit_configB,node2_pass_configB,node2_score_configB,node2_skipped_configB,node3_pass_configB,node3_score_configB,node3_skipped_configB,node4_pass_configB,node4_score_configB,node4_skipped_configB,node4_skipped_reason_configB,node4_clcg_interpretable_configB,node5_pass_configB,node5_score_configB,compliance_score_configB,failure_diagnosis_configB,clip_score_configA,clip_score_norm_configA
R1-016,1,3,3,3,3,3,MB052,sd15,es,data\generated_images\phase2b\sd15\es\MB052_seed42.png,False,0.0,True,False,0.0,False,False,0.0,False,,0.0,True,sd15_architectural,False,True,0.5869,0.0587,[MB052] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\es\MB052_seed42.png,False,0.0,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.0,[MB052] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,27.2547,0.3665616478053782
R1-017,1,4,4,3,3,5,MB018,flux,es,data\generated_images\phase2b\flux\es\MB018_seed42.png,True,1.0,False,True,1.0,False,False,0.5,False,True,1.0,False,,True,True,0.6252,0.8625,[MB018] NON-COMPLIANT — Node3: colour attributes not satisfied,True,data\generated_images\phase2b\flux\es\MB018_seed42.png,True,1.0,False,True,1.0,False,False,0.5,False,True,1.0,False,,True,True,0.6252,0.8625,[MB018] NON-COMPLIANT — Node3: colour attributes not satisfied,38.4716,0.7833020010551424
R1-018,1,1,1,1,1,1,MB039,sd15,de,data\generated_images\phase2b\sd15\de\MB039_seed42.png,True,1.0,False,True,1.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.6011,0.6601,[MB039] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\de\MB039_seed42.png,True,1.0,False,True,1.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.6011,0.6601,[MB039] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0 in compliance score; excluded from CLCG heatmap in Phase 2B,33.2453,0.5891298047986684
R1-019,1,4,4,4,4,3,MB131,sd15,es,data\generated_images\phase2b\sd15\es\MB131_seed42.png,True,1.0,False,False,0.0,False,True,1.0,False,,0.0,True,sd15_architectural,False,True,0.5937,0.5594,[MB131] NON-COMPLIANT — Node2: spatial constraints not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\es\MB131_seed42.png,True,1.0,False,False,0.0,False,True,1.0,False,,0.0,True,sd15_architectural,False,True,0.5937,0.5594,[MB131] NON-COMPLIANT — Node2: spatial constraints not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0 in compliance score; excluded from CLCG heatmap in Phase 2B,29.0048,0.4315829364165285
R1-020,1,5,5,5,5,4,MB027,flux,es,data\generated_images\phase2b\flux\es\MB027_seed42.png,True,1.0,False,True,1.0,False,True,1.0,False,True,0.75,False,,True,True,0.6226,0.9123,[MB027] COMPLIANT — all constraints satisfied,True,data\generated_images\phase2b\flux\es\MB027_seed42.png,True,1.0,False,False,0.0,False,True,1.0,False,True,0.75,False,,True,True,0.6226,0.7123,[MB027] NON-COMPLIANT — Node2: spatial constraints not satisfied,38.0339,0.7670401771450227
R1-021,1,4,5,3,4,3,MB094,flux,fr,data\generated_images\phase2b\flux\fr\MB094_seed42.png,True,1.0,False,True,1.0,False,True,1.0,False,False,0.4,False,,True,True,0.6203,0.842,[MB094] NON-COMPLIANT — Node4: required text not legibly rendered,True,data\generated_images\phase2b\flux\fr\MB094_seed42.png,True,1.0,False,True,1.0,False,True,1.0,False,False,0.4,False,,True,True,0.6203,0.842,[MB094] NON-COMPLIANT — Node4: required text not legibly rendered,33.7791,0.6089620223066006
R1-022,1,4,4,4,4,1,MB060,sd15,fr,data\generated_images\phase2b\sd15\fr\MB060_seed42.png,True,1.0,False,False,0.0,False,True,1.0,False,,0.0,True,sd15_architectural,False,True,0.6045,0.5605,[MB060] NON-COMPLIANT — Node2: spatial constraints not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\fr\MB060_seed42.png,True,1.0,False,False,0.0,False,True,1.0,False,,0.0,True,sd15_architectural,False,True,0.6045,0.5605,[MB060] NON-COMPLIANT — Node2: spatial constraints not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0 in compliance score; excluded from CLCG heatmap in Phase 2B,33.2396,0.5889180332741365
R1-023,1,2,4,3,1,1,MB033,flux,de,data\generated_images\phase2b\flux\de\MB033_seed42.png,False,0.5,True,False,0.0,False,False,0.0,False,True,0.6667,False,,True,True,0.6031,0.3437,[MB033] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied,False,data\generated_images\phase2b\flux\de\MB033_seed42.png,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,True,,0.0,0.15,[MB033] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,34.3139,0.6288313927135732
R1-024,1,1,1,1,1,1,MB088,flux,fr,data\generated_images\phase2b\flux\fr\MB088_seed42.png,False,0.5,True,False,0.0,False,False,0.0,False,True,1.0,False,,True,True,0.6008,0.4101,[MB088] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied,False,data\generated_images\phase2b\flux\fr\MB088_seed42.png,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,True,,0.0,0.15,[MB088] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,21.3632,0.14767534310702257
R1-025,1,3,4,3,3,1,MB005,sd15,fr,data\generated_images\phase2b\sd15\fr\MB005_seed42.png,True,1.0,False,True,1.0,False,False,0.0,False,,0.0,True,sd15_architectural,False,True,0.6048,0.5605,[MB005] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\fr\MB005_seed42.png,True,1.0,False,True,1.0,False,False,0.0,False,,0.0,True,sd15_architectural,False,True,0.6048,0.5605,[MB005] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0 in compliance score; excluded from CLCG heatmap in Phase 2B,30.7102,0.4949434904405591
R1-026,1,2,2,2,2,1,MB058,sd15,de,data\generated_images\phase2b\sd15\de\MB058_seed42.png,False,0.0,True,False,0.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.5977,0.1598,[MB058] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\de\MB058_seed42.png,False,0.0,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.0,[MB058] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,30.5454,0.4888206926786497
R1-027,1,1,1,1,1,1,MB051,sd15,de,data\generated_images\phase2b\sd15\de\MB051_seed42.png,False,0.5,True,False,0.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.5873,0.3087,[MB051] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\de\MB051_seed42.png,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB051] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,28.5703,0.4154400017833391
R1-028,1,1,1,1,1,1,MB105,flux,es,data\generated_images\phase2b\flux\es\MB105_seed42.png,False,0.0,True,False,0.0,False,False,0.0,False,True,1.0,False,,True,True,0.6033,0.2603,[MB105] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied,False,data\generated_images\phase2b\flux\es\MB105_seed42.png,False,0.0,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,True,,0.0,0.0,[MB105] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,29.7703,0.46002348063219367
R1-029,1,4,5,5,5,4,MB073,flux,fr,data\generated_images\phase2b\flux\fr\MB073_seed42.png,False,0.5,True,False,0.0,False,False,0.5,False,False,0.4,False,,True,True,0.617,0.3917,[MB073] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: required text not legibly rendered,False,data\generated_images\phase2b\flux\fr\MB073_seed42.png,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,True,,0.0,0.15,[MB073] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,38.9082,0.7995229567763172
R1-030,1,4,4,4,4,3,MB124,sd15,es,data\generated_images\phase2b\sd15\es\MB124_seed42.png,False,0.0,True,False,0.0,False,False,0.0,False,,0.0,True,sd15_architectural,False,True,0.5866,0.0587,[MB124] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\es\MB124_seed42.png,False,0.0,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.0,[MB124] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,28.1063,0.39820105662844874
R1-031,1,3,4,3,3,1,MB001,flux,de,data\generated_images\phase2b\flux\de\MB001_seed42.png,True,1.0,False,False,0.0,False,True,1.0,False,False,0.0,False,,True,True,0.6181,0.5618,[MB001] NON-COMPLIANT — Node2: spatial constraints not satisfied; Node4: required text not legibly rendered,True,data\generated_images\phase2b\flux\de\MB001_seed42.png,True,1.0,False,False,0.0,False,True,1.0,False,False,0.0,False,,True,True,0.6181,0.5618,[MB001] NON-COMPLIANT — Node2: spatial constraints not satisfied; Node4: required text not legibly rendered,34.3816,0.6313466439786296
R1-032,1,4,5,4,4,3,MB101,flux,fr,data\generated_images\phase2b\flux\fr\MB101_seed42.png,False,0.5,True,False,0.0,False,False,0.5,False,False,0.2222,False,,True,True,0.6129,0.3557,[MB101] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: required text not legibly rendered,False,data\generated_images\phase2b\flux\fr\MB101_seed42.png,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,True,,0.0,0.15,[MB101] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,25.4117,0.29808885487334574
R1-033,1,4,4,4,4,2,MB120,flux,de,data\generated_images\phase2b\flux\de\MB120_seed42.png,False,0.5,True,True,1.0,False,False,0.5,False,True,0.8333,False,,True,True,0.6249,0.6792,[MB120] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node3: colour attributes not satisfied,True,data\generated_images\phase2b\flux\de\MB120_seed42.png,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,True,,0.0,0.15,[MB120] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,30.7663,0.49702776807674304
R1-034,1,1,1,1,1,1,MB084,sd15,es,data\generated_images\phase2b\sd15\es\MB084_seed42.png,False,0.5,True,False,0.0,False,True,1.0,False,,0.0,True,sd15_architectural,False,True,0.5983,0.4098,[MB084] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\es\MB084_seed42.png,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB084] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,34.7404,0.6446771041544371
R1-035,1,3,3,3,4,1,MB068,sd15,fr,data\generated_images\phase2b\sd15\fr\MB068_seed42.png,False,0.0,True,False,0.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.5942,0.1594,[MB068] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\fr\MB068_seed42.png,False,0.0,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.0,[MB068] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,31.0138,0.5062231105893192
R1-036,1,4,4,3,5,2,MB091,flux,es,data\generated_images\phase2b\flux\es\MB091_seed42.png,False,0.5,True,False,0.0,False,False,0.5,False,False,0.0,False,,True,True,0.6131,0.3113,[MB091] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: required text not legibly rendered,False,data\generated_images\phase2b\flux\es\MB091_seed42.png,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,True,,0.0,0.15,[MB091] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,28.0535,0.39623938355909905
R1-037,1,4,4,4,4,1,MB083,flux,de,data\generated_images\phase2b\flux\de\MB083_seed42.png,False,0.5,True,False,0.0,False,False,0.5,False,False,0.0,False,,True,True,0.5984,0.3098,[MB083] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: required text not legibly rendered,False,data\generated_images\phase2b\flux\de\MB083_seed42.png,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,True,,0.0,0.15,[MB083] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,31.7306,0.5328543086217017
R1-038,1,1,1,1,1,1,MB094,sd15,fr,data\generated_images\phase2b\sd15\fr\MB094_seed42.png,False,0.5,True,False,0.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.5955,0.3095,[MB094] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\fr\MB094_seed42.png,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB094] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,27.5108,0.3760765052497046
