brief_id,model,language,node1_pass,node1_score,node1_short_circuit,node2_pass,node2_score,node2_skipped,node3_pass,node3_score,node3_skipped,node4_pass,node4_score,node4_skipped,node4_skipped_reason,node4_clcg_interpretable,node5_pass,node5_score,compliance_score,failure_diagnosis,compliant,output_path
MB006,sd15,fr,False,0.5,True,False,0.0,False,False,0.0,False,,0.0,True,sd15_architectural,False,True,0.5987,0.2099,[MB006] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\fr\MB006_seed42.png
MB068,sd15,fr,False,0.0,True,False,0.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.5942,0.1594,[MB068] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\fr\MB068_seed42.png
MB109,sd15,fr,False,0.5,True,False,0.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.6054,0.3105,[MB109] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\fr\MB109_seed42.png
MB039,flux,fr,False,0.5,True,False,0.0,False,True,1.0,False,True,1.0,False,,True,True,0.6186,0.6119,[MB039] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied,True,data\generated_images\phase2b\flux\fr\MB039_seed42.png
MB074,sd15,fr,True,1.0,False,True,1.0,False,False,0.0,False,,0.0,True,sd15_architectural,False,True,0.6033,0.5603,[MB074] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\fr\MB074_seed42.png
MB044,sd15,fr,False,0.0,True,False,0.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.593,0.1593,[MB044] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\fr\MB044_seed42.png
MB100,flux,fr,True,1.0,False,False,0.0,False,False,0.5,False,False,0.1818,False,,True,True,0.6124,0.4976,[MB100] NON-COMPLIANT — Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: required text not legibly rendered,False,data\generated_images\phase2b\flux\fr\MB100_seed42.png
MB062,flux,fr,True,1.0,False,True,1.0,False,True,1.0,False,True,1.0,False,,True,True,0.6186,0.9619,[MB062] COMPLIANT — all constraints satisfied,True,data\generated_images\phase2b\flux\fr\MB062_seed42.png
MB035,flux,fr,False,0.5,True,False,0.0,False,False,0.5,False,False,0.0,False,,True,True,0.6147,0.3115,[MB035] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: required text not legibly rendered,False,data\generated_images\phase2b\flux\fr\MB035_seed42.png
MB079,sd15,fr,True,1.0,False,True,1.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.5894,0.6589,[MB079] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\fr\MB079_seed42.png
MB033,sd15,es,False,0.0,True,False,0.0,False,False,0.0,False,,0.0,True,sd15_architectural,False,True,0.5896,0.059,[MB033] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\es\MB033_seed42.png
MB084,sd15,es,False,0.5,True,False,0.0,False,True,1.0,False,,0.0,True,sd15_architectural,False,True,0.5983,0.4098,[MB084] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\es\MB084_seed42.png
MB070,sd15,es,False,0.0,True,False,0.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.5927,0.1593,[MB070] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\es\MB070_seed42.png
MB014,flux,es,True,1.0,False,False,0.0,False,False,0.5,False,True,1.0,False,,True,True,0.6192,0.6619,[MB014] NON-COMPLIANT — Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied,True,data\generated_images\phase2b\flux\es\MB014_seed42.png
MB045,sd15,es,False,0.5,True,True,1.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.5954,0.5095,[MB045] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\es\MB045_seed42.png
MB024,sd15,es,True,1.0,False,False,0.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.6028,0.4603,[MB024] NON-COMPLIANT — Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\es\MB024_seed42.png
MB019,flux,es,True,1.0,False,False,0.0,False,False,0.5,False,False,0.0,False,,True,True,0.6119,0.4612,[MB019] NON-COMPLIANT — Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: required text not legibly rendered,False,data\generated_images\phase2b\flux\es\MB019_seed42.png
MB090,flux,es,True,1.0,False,True,1.0,False,True,1.0,False,False,0.2857,False,,True,True,0.6115,0.8183,[MB090] NON-COMPLIANT — Node4: required text not legibly rendered,True,data\generated_images\phase2b\flux\es\MB090_seed42.png
MB040,flux,es,False,0.0,True,False,0.0,False,False,0.0,False,True,1.0,False,,True,True,0.6036,0.2604,[MB040] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied,False,data\generated_images\phase2b\flux\es\MB040_seed42.png
MB061,sd15,es,True,1.0,False,True,1.0,False,True,1.0,False,,0.0,True,sd15_architectural,False,True,0.6126,0.7613,[MB061] NON-COMPLIANT — Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\es\MB061_seed42.png
