prompt_id,model,prompt_text,color_pairs,blip_score,mclip_score,image_found
CV030,sd15,"Bathroom scene, white commode and matching white sink on light brown tone tiled floor.","[('brown', 'tone'), ('white', 'commode'), ('white', 'sink')]",1.0,0.3155,1
CV001,flux,a blue bench and a green cake,"[('blue', 'bench'), ('green', 'cake')]",1.0,0.3293,1
CV002,flux,a red orange and a brown sheep,"[('red', 'orange'), ('brown', 'sheep')]",0.0,0.3189,1
CV003,flux,a brown orange and a red sheep,"[('red', 'sheep'), ('brown', 'orange')]",0.5,0.2888,1
CV004,flux,a brown banana and a green dog,"[('green', 'dog'), ('brown', 'banana')]",0.5,0.3373,1
CV005,flux,a green banana and a brown horse,"[('green', 'banana'), ('brown', 'horse')]",0.5,0.3473,1
CV006,flux,a blue backpack and a green banana,"[('blue', 'backpack'), ('green', 'banana')]",0.5,0.3646,1
CV007,flux,a red horse and a brown orange,"[('red', 'horse'), ('brown', 'orange')]",0.5,0.3015,1
CV008,flux,a blue backpack and a gold clock,"[('blue', 'backpack'), ('gold', 'clock')]",1.0,0.3487,1
CV009,flux,a brown backpack and a blue sheep,"[('blue', 'sheep'), ('brown', 'backpack')]",1.0,0.338,1
CV010,flux,a blue bowl and a red train,"[('red', 'train'), ('blue', 'bowl')]",1.0,0.306,1
CV011,flux,a brown giraffe and a red train,"[('red', 'train'), ('brown', 'giraffe')]",1.0,0.3516,1
CV012,flux,a blue boat and a red suitcase,"[('red', 'suitcase'), ('blue', 'boat')]",1.0,0.3463,1
CV013,flux,a blue backpack and a red car,"[('red', 'car'), ('blue', 'backpack')]",1.0,0.3458,1
CV014,flux,a brown banana and a green cow,"[('green', 'cow'), ('brown', 'banana')]",0.5,0.3398,1
CV015,flux,a brown giraffe and a blue vase,"[('blue', 'vase'), ('brown', 'giraffe')]",1.0,0.3491,1
CV016,flux,a blue giraffe and a brown vase,"[('blue', 'giraffe'), ('brown', 'vase')]",0.5,0.3541,1
CV017,flux,a red cow and a brown suitcase,"[('red', 'cow'), ('brown', 'suitcase')]",1.0,0.3821,1
CV018,flux,a green banana and a brown giraffe,"[('green', 'banana'), ('brown', 'giraffe')]",1.0,0.3409,1
CV019,flux,a red chair and a brown sheep,"[('red', 'chair'), ('brown', 'sheep')]",0.5,0.3359,1
CV020,flux,a yellow apple and red bananas,"[('red', 'bananas'), ('yellow', 'apple')]",1.0,0.3389,1
CV021,flux,a red hat and a black scarf,"[('red', 'hat'), ('black', 'scarf')]",1.0,0.3086,1
CV022,flux,a yellow grass and a green dandelion,"[('green', 'dandelion'), ('yellow', 'grass')]",0.0,0.3042,1
CV023,flux,a gray cat and a black mouse,"[('black', 'mouse'), ('gray', 'cat')]",0.5,0.3142,1
CV024,flux,a yellow tomato and a red pepper,"[('red', 'pepper'), ('yellow', 'tomato')]",0.5,0.3347,1
CV025,flux,a green jay and a blue parrot,"[('blue', 'parrot'), ('green', 'jay')]",0.5,0.2923,1
CV026,flux,a black squirrel and a brown nut,"[('brown', 'nut'), ('black', 'squirrel')]",1.0,0.296,1
CV027,flux,a black jacket and a brown hat,"[('brown', 'hat'), ('black', 'jacket')]",1.0,0.2868,1
CV028,flux,Bathroom scene with white background and tan accents.,"[('white', 'background')]",1.0,0.301,1
CV029,flux,A white carpet in a bathroom with red fixtures.,"[('red', 'fixtures'), ('white', 'carpet')]",1.0,0.3312,1
CV030,flux,"Bathroom scene, white commode and matching white sink on light brown tone tiled floor.","[('brown', 'tone'), ('white', 'commode'), ('white', 'sink')]",0.6667,0.295,1
