prompt_id,model,prompt_text,color_pairs,gpt_score,blip_score
CV011,flux,a brown giraffe and a red train,"[('red', 'train'), ('brown', 'giraffe')]",1.0,1.0
CV012,flux,a blue boat and a red suitcase,"[('red', 'suitcase'), ('blue', 'boat')]",1.0,1.0
CV013,flux,a blue backpack and a red car,"[('red', 'car'), ('blue', 'backpack')]",1.0,1.0
CV014,flux,a brown banana and a green cow,"[('green', 'cow'), ('brown', 'banana')]",0.5,0.5
CV015,flux,a brown giraffe and a blue vase,"[('blue', 'vase'), ('brown', 'giraffe')]",1.0,1.0
CV016,flux,a blue giraffe and a brown vase,"[('blue', 'giraffe'), ('brown', 'vase')]",1.0,0.5
CV017,flux,a red cow and a brown suitcase,"[('red', 'cow'), ('brown', 'suitcase')]",1.0,1.0
CV018,flux,a green banana and a brown giraffe,"[('green', 'banana'), ('brown', 'giraffe')]",0.5,1.0
CV019,flux,a red chair and a brown sheep,"[('red', 'chair'), ('brown', 'sheep')]",0.5,0.5
CV020,flux,a yellow apple and red bananas,"[('red', 'bananas'), ('yellow', 'apple')]",1.0,1.0
CV021,flux,a red hat and a black scarf,"[('red', 'hat'), ('black', 'scarf')]",1.0,1.0
CV022,flux,a yellow grass and a green dandelion,"[('green', 'dandelion'), ('yellow', 'grass')]",0.0,0.0
CV023,flux,a gray cat and a black mouse,"[('black', 'mouse'), ('gray', 'cat')]",1.0,0.5
CV024,flux,a yellow tomato and a red pepper,"[('red', 'pepper'), ('yellow', 'tomato')]",1.0,0.5
CV025,flux,a green jay and a blue parrot,"[('blue', 'parrot'), ('green', 'jay')]",0.5,0.5
CV026,flux,a black squirrel and a brown nut,"[('brown', 'nut'), ('black', 'squirrel')]",1.0,1.0
CV027,flux,a black jacket and a brown hat,"[('brown', 'hat'), ('black', 'jacket')]",1.0,1.0
CV028,flux,Bathroom scene with white background and tan accents.,"[('white', 'background')]",1.0,1.0
CV029,flux,A white carpet in a bathroom with red fixtures.,"[('red', 'fixtures'), ('white', 'carpet')]",1.0,1.0
CV030,flux,"Bathroom scene, white commode and matching white sink on light brown tone tiled floor.","[('brown', 'tone'), ('white', 'commode'), ('white', 'sink')]",0.6667,0.6667
