prompt_id,category,image_id,caption_en,caption_translated,back_translated,cc_score,status,language,cometkiwi_score
P025,vehicles,134722,Fast commuter train moving past an outdoor platform.,قطار ركاب سريع يمر من أمام رصيف خارجي.,An express passenger train passes in front of an outdoor platform.,0.9026,PASS,ar,0.8242183923721313
P026,vehicles,137727,A motorized cart fills a train with luggage,عربة بمحرك تملأ قطاراً بالأمتعة,Motorised trolley fills a train with luggage,0.9555,PASS,ar,0.8282349109649658
P027,food,460929,A hot dog with mustard is next to a bottle of soda.,هوت دوج مع الخردل بجانب زجاجة صودا.,Hot dog with mustard next to a bottle of soda.,0.9866,PASS,ar,0.6641258597373962
P028,food,47112,A dining table has a large pizza and wine glasses.,تحتوي طاولة الطعام على بيتزا كبيرة وكؤوس نبيذ.,The dining table has large pizzas and wine glasses.,0.9823,PASS,ar,0.8370748162269592
P029,food,99053,"A bowl of noodles, meat and broccoli with a fork.",وعاء من النودلز واللحم والبروكلي بالشوكة.,"A bowl of noodles, meat and broccoli with a fork.",1.0,PASS,ar,0.6931091547012329
P030,food,91406,Several women gathered together posing with 6 pizzas in take out boxes.,اجتمعت عدة نساء معًا وهن يحملن 6 قطع بيتزا في صناديق إخراجها.,Several women gathered together carrying 6 pizzas in their takeaway boxes.,0.9636,PASS,ar,0.6971543431282043
P031,food,108253,A plate of cheese bread next to bread sticks and wine.,طبق من خبز الجبن بجانب أصابع الخبز والنبيذ.,A plate of cheese bread with a side of breadsticks and wine.,0.9817,PASS,ar,0.6921665072441101
P032,food,371472,A pile of pineapple sitting next to a pile of bananas.,كومة من الأناناس بجانب كومة من الموز.,A stack of pineapple next to a stack of bananas.,0.9475,PASS,ar,0.8021377325057983
P033,food,66706,A plate topped with banana slice covered pan cakes.,طبق مغطى بقطع الموز المغطاة بقطع الموز.,Plate topped with banana slices.,0.9511,PASS,ar,0.4760587811470032
P034,food,348708,The banana is laying next to an almost empty bowl.,الموزة موضوعة بجانب وعاء شبه فارغ.,The banana is placed next to a semi-empty bowl.,0.9656,PASS,ar,0.836656928062439
P035,food,323151,A pizza sitting on top of a white plate next to a glass of beer.,بيتزا موضوعة فوق طبق أبيض بجانب كأس من البيرة.,Pizza placed on a white plate next to a glass of beer.,0.9799,PASS,ar,0.8461589813232422
P036,food,286908,Various dishes of food sit in bowls on a table.,أطباق مختلفة من الطعام موضوعة في أوعية على الطاولة.,Different dishes of food placed in bowls on the table.,0.986,PASS,ar,0.8493285179138184
P037,food,112378,A wooden table topped with a bunch of green bananas.,طاولة خشبية تعلوها مجموعة من الموز الأخضر.,A wooden table with a bunch of green bananas on top.,0.9943,PASS,ar,0.798733115196228
P038,food,75456,A pizza with Canadian bacon and pineapple in a fluted pan.,بيتزا مع لحم الخنزير المقدد الكندي والأناناس في مقلاة مخدد.,Pizza with Canadian bacon and pineapple in a fluted pan.,0.9919,PASS,ar,0.6303340792655945
P039,animals,193162,a man on a three wheeler following behind a two dogs and a cow,رجل على عربة بثلاث عجلات يتبعه كلبان وبقرة,A man on a three-wheeler followed by two dogs and a cow,0.9825,PASS,ar,0.7751040458679199
P040,animals,90062,A black and white cow stands in a paddock with firewood in the background.,بقرة بيضاء وسوداء تقف في حقل مع حطب في الخلفية.,Black and white cow standing in a field with firewood in the background.,0.9522,PASS,ar,0.7702468037605286
P041,animals,155571,An elephant walking across a green grass covered field.,فيل يمشي عبر حقل مغطى بالعشب الأخضر.,An elephant walks across a field covered in green grass.,0.987,PASS,ar,0.8232361078262329
P042,animals,357060,A bird is trying to find food in the water.,طائر يحاول العثور على الطعام في الماء.,A bird trying to find food in the water.,0.9936,PASS,ar,0.8661251068115234
P043,animals,345261,Two giraffe standing on to of a dry grass covered field.,زرافتان تقفان على حقل مغطى بالعشب الجاف.,Two giraffes stand on a field covered with dry grass.,0.985,PASS,ar,0.7664240598678589
P044,animals,347664,A herd of cattle walking across a sandy beach near the ocean.,قطيع من الماشية يسير على شاطئ رملي بالقرب من المحيط.,A herd of cattle walking on a sandy beach near the ocean.,0.9992,PASS,ar,0.8253180980682373
P045,animals,222235,A cat is playing with a plan in a park.,قطة تلعب بخطة في الحديقة.,A cat playing with a plan in the garden.,0.9408,PASS,ar,0.7684669494628906
P046,animals,180011,"Four young giraffes in a zoo, with one of them being fed leaves by a person",أربع زرافات صغيرة في حديقة حيوانات، وإحداها يطعمها شخص أوراق الشجر,"Four baby giraffes in a zoo, one of which is being fed leaves by a person",0.9681,PASS,ar,0.8234455585479736
P047,animals,512648,A brown cow under a tree in a grassy area.,بقرة بنية اللون تحت شجرة في منطقة عشبية.,A brown cow under a tree in a grassy area.,1.0,PASS,ar,0.821897566318512
P048,animals,547383,Two adult sheep lay on the green grass.,يرقد خروفان بالغان على العشب الأخضر.,Two adult sheep lie on the green grass.,0.992,PASS,ar,0.8246307373046875
P049,animals,357081,A photograph of two cows grazing on a green pasture.,صورة لبقرتين ترعيان في مرعى أخضر.,Image of two cows grazing in a green pasture.,0.9925,PASS,ar,0.8132544755935669
P050,animals,1675,A cat resting on an open laptop computer.,قطة تستريح على كمبيوتر محمول مفتوح.,A cat resting on an open laptop.,0.9769,PASS,ar,0.8260270953178406
